Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Sweet Adene,Populace Wall > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107641513/sweet-adene,3.1,-1,Sport,5.8,1,55.0,43.53639,-116.08633
Stems and Jammies,Populace Wall > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/106069021/stems-and-jammies,3.0,-1,"Trad, TR",5.7,1,60.0,43.53639,-116.08633
Bologna Pony,Short Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/106060673/bologna-pony,3.5,-1,Sport,5.10d,1,40.0,43.53993,-116.09204
Pabst Smear,West Car Body Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107116440/pabst-smear,3.5,-1,"Trad, Sport",5.10b,1,60.0,43.53485,-116.08234
Macabre Roof,East Car Body Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107251239/macabre-roof,3.8,-1,Trad,5.10b,1,50.0,43.5349,-116.08157
Circumciser,Tall Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/106060694/circumciser,2.8,-1,Sport,5.10b,1,75.0,43.5363,-116.0857
Midnight Visitor,Roadside Rock > Mores Mountain > West Idaho > Idaho,https://www.mountainproject.com/route/107768433/midnight-visitor,3.4,-1,Sport,5.10b,1,95.0,43.8002,-116.0865
The Father,Mid Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/108693385/the-father,3.5,-1,Trad,5.9,1,65.0,43.53804,-116.08996
Stone Tools,The New Fringe > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107607130/stone-tools,3.1,-1,Sport,5.10b,1,40.0,43.53648,-116.08677
Unknown Leon,Short Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107381697/unknown-leon,3.5,-1,Sport,5.11a,1,50.0,43.53993,-116.09204
The Flying Circus,West Car Body Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107227212/the-flying-circus,3.1,-1,Trad,5.8+,1,50.0,43.53485,-116.08234
