Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Permanent Income Hypothesis,Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105906865/permanent-income-hypothesis,3.5,-1,Sport,5.9,1,180.0,34.58355,-119.26301
Ending Crack,Sespe Gorge (Black Wall) > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105796895/ending-crack,3.4,-1,Trad,5.7 PG13,2,300.0,34.5776,-119.2579
Economique,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105798270/economique,3.1,-1,Sport,5.10a,1,80.0,34.5075,-119.2757
Danger Boy,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105799262/danger-boy,2.8,-1,Sport,5.11a,1,70.0,34.5075,-119.2757
Silent Mind,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/106065926/silent-mind,3.4,-1,Sport,5.11b,1,45.0,34.5075,-119.2757
Blush,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105798155/blush,2.8,-1,Sport,5.11a,1,60.0,34.5075,-119.2757
Goulara,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105798262/goulara,2.9,-1,Sport,5.10c,1,70.0,34.5075,-119.2757
Natural Rate of Unemployment,Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105971104/natural-rate-of-unemployment,3.0,-1,Sport,5.10c,1,115.0,34.58355,-119.26301
Menage a Trois,Potrero John > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/105806740/menage-a-trois,2.9,-1,Sport,5.10b PG13,1,,34.5825,-119.26159
Exilis Dihedral,Derrydale Cliff > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/106230909/exilis-dihedral,3.2,-1,"Trad, Sport",5.9,1,75.0,34.58618,-119.27428
Sick Boy,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/112022059/sick-boy,3.0,-1,Sport,5.10b,1,55.0,34.5075,-119.2757
The Big Black Pirate,Lower Raspberry Canyon > Pine Mountain > Hwy 33/Ojai Bouldering > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/108394565/the-big-black-pirate,4.0,-1,Trad,5.9+,1,60.0,34.64829,-119.31214
Edge of Night,Sespe Gorge (Black Wall) > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/107037863/edge-of-night,3.2,-1,Trad,5.7 R,2,200.0,34.5776,-119.2579
Ruthless Poodles,"Foothill Crag (""The Foot"") > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105798043/ruthless-poodles,2.9,-1,"Sport, TR",5.10b PG13,1,90.0,34.4705,-119.2512
East Edge,Bigcone Canyon > Bigcone and Ladybug Canyons > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/114366404/east-edge,3.0,-1,Trad,5.7 PG13,3,330.0,34.59327,-119.3227
The Wheel,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/108766656/the-wheel,3.5,-1,Trad,5.11,1,40.0,34.5075,-119.2757
Spinal Tap,Potrero John > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/112214287/spinal-tap,3.2,-1,Sport,5.10b,1,70.0,34.5825,-119.26159
I Love L.A.,"Foothill Crag (""The Foot"") > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105801476/i-love-la,2.9,-1,Sport,5.10a PG13,1,90.0,34.4705,-119.2512
Classically Liberal,Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/106049249/classically-liberal,2.8,-1,Sport,5.11a,1,75.0,34.58355,-119.26301
Mammoth Poaching,Derrydale Cliff > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/106316921/mammoth-poaching,2.8,-1,Sport,5.10b,1,75.0,34.58618,-119.27428
Sob Story,"Foothill Crag (""The Foot"") > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105798200/sob-story,2.8,-1,Trad,5.8 R,1,95.0,34.4705,-119.2512
Pioneer Crack,Ursus > Ladybug Canyon > Bigcone and Ladybug Canyons > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/114368001/pioneer-crack,3.0,-1,"Trad, TR",5.7,1,40.0,34.59288,-119.33276
Barbecued Mammoth,Derrydale Cliff > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/120084018/barbecued-mammoth,3.0,-1,Trad,5.10c/d PG13,1,65.0,34.58618,-119.27428
Right Between the Eyes,Derrydale Cliff > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/120183279/right-between-the-eyes,3.0,-1,Sport,5.10a,1,80.0,34.58618,-119.27428
Planetarium,Ursus > Ladybug Canyon > Bigcone and Ladybug Canyons > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/114368112/planetarium,3.0,-1,Trad,5.7,1,60.0,34.59288,-119.33276
The Frond,Upper Foothill (The Hideout) > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/109966040/the-frond,3.0,-1,Trad,5.10,1,45.0,34.46993,-119.24743
Red Wind,Upper Ridge > Shelf Ridge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/108386589/red-wind,3.0,-1,"Trad, TR",5.10d R,1,60.0,34.46942,-119.23899
