Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Naked Edge,Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748786/the-naked-edge,3.9,-1,Trad,5.11b,6,460.0,39.9312,-105.28518
Rewritten,Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105750106/rewritten,3.7,-1,Trad,5.7,6,650.0,39.93228,-105.28671
The Yellow Spur,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748657/the-yellow-spur,3.8,-1,Trad,5.9+,6,,39.93194,-105.28603
The Bastille Crack,The Bastille - N Face > The Bastille > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748490/the-bastille-crack,3.5,-1,Trad,5.7,5,350.0,39.9307,-105.283
Outer Space,The Bastille - N Face > The Bastille > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748612/outer-space,3.9,-1,Trad,5.10b/c R,2,,39.9307,-105.283
Death and Transfiguration,Green Mountain Pinnacle > North > Flatirons > Boulder > Colorado,https://www.mountainproject.com/route/105750424/death-and-transfiguration,4.0,-1,Trad,5.11b,1,75.0,39.98318,-105.29422
Country Club Crack,Castle Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748711/country-club-crack,3.9,-1,Trad,5.11c,2,,39.9787,-105.4551
Doub-Griffith,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105753319/doub-griffith,3.9,-1,Trad,5.11c,3,,39.93194,-105.28603
Super Slab,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105749728/super-slab,3.8,-1,Trad,5.10+,4,,39.93194,-105.28603
Ruper,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748774/ruper,3.6,-1,Trad,5.8+,6,240.0,39.93194,-105.28603
Rosy Crucifixion,Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748777/rosy-crucifixion,3.8,-1,Trad,5.10b PG13,3,170.0,39.9312,-105.28518
Captain Beyond,Mickey Mouse Wall > Eldorado Mountain > Boulder > Colorado,https://www.mountainproject.com/route/105751744/captain-beyond,3.9,-1,Trad,5.10+,5,,39.91728,-105.28551
Vertigo,Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105748771/vertigo,3.8,-1,Trad,5.11b,4,,39.93194,-105.28603
Animal Magnetism,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105753505/animal-magnetism,3.8,-1,Sport,5.11c,1,110.0,39.99846,-105.41397
Rebuffat's Arete,Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/108095626/rebuffats-arete,3.7,-1,Trad,5.7,1,190.0,39.93228,-105.28671
Over the Hill,Rincon - L of Center Route > Rincon > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105756796/over-the-hill,3.7,-1,Trad,5.10b,2,,39.93435,-105.28993
Center Route,Rincon - Center Route & R > Rincon > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105750400/center-route,3.8,-1,Trad,5.11a/b,3,,39.93423,-105.28939
Handcracker Direct,West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105749599/handcracker-direct,3.6,-1,Trad,5.10a,5,,39.93203,-105.28849
Gambit,Shirt Tail Peak > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105751960/gambit,3.6,-1,Trad,5.8,5,,39.93429,-105.28837
Climb Of The Century,Rincon - L of Center Route > Rincon > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105753106/climb-of-the-century,3.7,-1,Trad,5.11,1,,39.93435,-105.28993
Darkness 'til Dawn,Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado,https://www.mountainproject.com/route/105750565/darkness-til-dawn,3.7,-1,Trad,5.10a,2,180.0,39.93228,-105.28671
