Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
"Third Pillar, Regular Route",Dana Plateau > Lee Vining Canyon / Tioga Road > Sierra Eastside > California,https://www.mountainproject.com/route/105816995/third-pillar-regular-route,3.8,-1,Trad,5.10a/b,5,800.0,37.92309,-119.21264
Sheila,Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105967548/sheila,3.9,-1,Trad,5.10b,1,180.0,37.3843,-118.67756
Pratt's Crack,Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105957801/pratts-crack,3.8,-1,Trad,5.9,1,165.0,37.3843,-118.67756
O.R.G.asm,Dihedrals > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105880789/orgasm,3.8,-1,Sport,5.11a,1,90.0,37.52838,-118.57396
Grindrite,Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105911420/grindrite,3.9,-1,Sport,5.11b,1,100.0,37.52751,-118.57443
Queen of the Heartbreaks,Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106836916/queen-of-the-heartbreaks,3.8,-1,Sport,5.11b,1,130.0,37.3843,-118.67756
Sons of Liberty,First Cliff > Patricia Bowl > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/105988104/sons-of-liberty,3.9,-1,Trad,5.10d,1,100.0,37.46302,-118.74537
Wages of Skin,Gong Show Wall > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/106097731/wages-of-skin,3.8,-1,Trad,5.10+,1,110.0,37.5096,-118.7179
Boi-oi-oi-ing!,Orange Pillar > Patricia Bowl > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/105923632/boi-oi-oi-ing,3.7,-1,Trad,5.10a,3,340.0,37.4631,-118.7459
Lalaland,Faulty Tower > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105880517/lalaland,3.7,-1,Sport,5.11c,1,110.0,37.51367,-118.57129
