Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Stolen Chimney,Ancient Art > Fisher Towers > Southeast Utah > Utah,https://www.mountainproject.com/route/105717310/stolen-chimney,3.7,-1,"Trad, Aid",5.10 A0,4,,38.72161,-109.30434
Fine Jade,The Rectory > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717322/fine-jade,3.9,-1,Trad,5.11a,5,,38.6571,-109.3678
Jah Man,Sister Superior Group > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717373/jah-man,3.9,-1,Trad,5.10c,6,350.0,38.6726,-109.3753
North Chimney,Castleton Tower > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717307/north-chimney,3.6,-1,Trad,5.9,4,400.0,38.651,-109.3678
Primrose Dihedrals,Moses > Taylor Canyon > Island In The Sky > Southeast Utah > Utah,https://www.mountainproject.com/route/105717748/primrose-dihedrals,3.9,-1,Trad,5.11+,7,600.0,38.47567,-109.91054
North Face,Castleton Tower > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717319/north-face,3.9,-1,Trad,5.11-,3,,38.651,-109.3678
In Search Of Suds,Washer Woman > Island In The Sky > Southeast Utah > Utah,https://www.mountainproject.com/route/105717622/in-search-of-suds,3.8,-1,Trad,5.10+,6,,38.39059,-109.83879
The Regular Route,Standing Rock > Monument Basin > Island In The Sky > Southeast Utah > Utah,https://www.mountainproject.com/route/105717778/the-regular-route,3.8,-1,Trad,5.11c,4,350.0,38.30083,-109.83734
Kor-Ingalls Route,Castleton Tower > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717289/kor-ingalls-route,3.4,-1,Trad,5.9+,4,,38.651,-109.3678
Infrared,Big Bend Butte > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718177/infrared,3.9,-1,Trad,5.11c,4,400.0,38.65077,-109.47332
Honeymoon Chimney,The Priest > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717292/honeymoon-chimney,3.7,-1,"Trad, Aid",5.11a A0,4,,38.6588,-109.3691
Finger of Fate,The Titan > Fisher Towers > Southeast Utah > Utah,https://www.mountainproject.com/route/105717568/finger-of-fate,3.7,-1,"Trad, Aid",5.8 C2+,8,,38.71745,-109.29955
