Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Egghead,The Egg > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734840/egghead,3.5,-1,Sport,5.11b PG13,1,60.0,37.88573,-122.62965
Amazing Face,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734633/amazing-face,3.2,-1,Sport,5.10a,1,90.0,37.8471,-121.9258
Bolt Route,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734630/bolt-route,3.2,-1,Sport,5.11b/c,1,70.0,37.8471,-121.9258
Center Overhang (aka Pitfall),The Pit (West Side) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734705/center-overhang-aka-pitfall,3.2,-1,"TR, Boulder",5.11 V3 R,1,20.0,37.89229,-122.27309
Sign Language,The Egg > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734828/sign-language,3.4,-1,Sport,5.11-,1,70.0,37.88573,-122.62965
Ozone (a.k.a.) The Arch,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734696/ozone-aka-the-arch,3.0,-1,"Trad, TR",5.10c,1,55.0,37.8471,-121.9258
Evolution,The Rock of Ages > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105872202/evolution,3.0,-1,Sport,5.10b,1,155.0,37.88057,-121.98549
Key-Slapping Slipperd,Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121452998/key-slapping-slipperd,3.0,-1,Sport,5.11b,1,40.0,37.87717,-122.61789
Effervescent [HISTORIC],Kimbuktu Tower > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121380146/effervescent-historic,2.9,-1,Sport,5.10a/b,1,21.0,37.87734,-122.61819
Bolly Boo Ball,Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121603956/bolly-boo-ball,2.9,-1,Sport,5.10a/b,1,45.0,37.87717,-122.61789
Redneck Rampage,Terra Dome > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/117838277/redneck-rampage,3.8,-1,"Sport, TR",5.10d,1,75.0,37.88297,-121.99221
Mogolef,Motown > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121456890/mogolef,3.3,-1,Sport,5.11c,1,65.0,37.87891,-122.61922
Boromir,Mammoth Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/111268805/boromir,3.6,-1,Sport,5.11a,1,90.0,37.88029,-121.98765
Quilligan (aka Friendly),Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121605391/quilligan-aka-friendly,2.9,-1,Sport,5.10a,1,40.0,37.87717,-122.61789
Money Shot,Terra Dome > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/117838210/money-shot,3.3,-1,"Sport, TR",5.10c,1,80.0,37.88297,-121.99221
The Bronze Hog,Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/122307036/the-bronze-hog,3.4,-1,Sport,5.11b/c,1,65.0,37.87717,-122.61789
The Quarry,Flintstone Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/107628332/the-quarry,3.0,-1,"Sport, TR",5.10c,1,80.0,37.88124,-121.98656
Mogoright,Motown > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121457249/mogoright,2.9,-1,Sport,5.11a,1,70.0,37.87891,-122.61922
Proboscis,Mammoth Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/111170392/proboscis,3.0,-1,Sport,5.10c PG13,2,,37.88029,-121.98765
Micro Aggression,Kim's gym (aka Kym's Gym) > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/122555065/micro-aggression,3.4,-1,Sport,5.10a,1,90.0,37.88,-122.62242
I-11,Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/120373200/i-11,4.0,-1,TR,5.11- R,1,,37.8923,-122.27302
I-13,Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/120745058/i-13,4.0,-1,TR,5.11- R,1,45.0,37.8923,-122.27302
I-12,Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/118662532/i-12,3.8,-1,TR,5.11- R,1,,37.8923,-122.27302
Old Dino/Miwok,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121055599/old-dinomiwok,3.2,-1,Sport,5.11,1,80.0,37.8471,-121.9258
Beginners Crack,The Pit (West Side) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/119146185/beginners-crack,2.8,-1,"TR, Boulder",5.7 V0,1,30.0,37.89229,-122.27309
Get Buck In The Yolk,The Egg > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121825720/get-buck-in-the-yolk,3.3,-1,Sport,5.11c,1,45.0,37.88573,-122.62965
Once was Lost,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/120575016/once-was-lost,3.0,-1,Sport,5.10c,1,80.0,37.8471,-121.9258
Stegosaurus,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/114383056/stegosaurus,3.0,-1,Sport,5.11b,1,70.0,37.8471,-121.9258
Tide Pull,Emperor Boulder > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/112108308/tide-pull,2.9,-1,Sport,5.11b,1,,37.87816,-122.62111
The Unnatural Act,The Unnatural Act Cave > Glen Canyon > San Francisco > San Francisco Bay Area > California,https://www.mountainproject.com/route/115371463/the-unnatural-act,3.5,-1,"TR, Boulder",5.11 V3 X,1,30.0,37.74226,-122.44391
The Diamond (aka Triangle Face),Main Formation (aka Pinnacle Rock) > Remillard Park > Berkeley > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/120229955/the-diamond-aka-triangle-face,3.3,-1,"TR, Boulder",5.11 V3,1,15.0,37.8923,-122.2611
Eastern Face,"Leaning Tower, The > Mount Tamalpais > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734945/eastern-face,3.1,-1,TR,5.10b,1,30.0,37.92826,-122.57713
Pebbly Face,Upper Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/117244728/pebbly-face,3.1,-1,Sport,5.10d,1,40.0,37.8467,-121.92671
Snake Split,Split Rock > Ring Mountain > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/121054004/snake-split,3.5,-1,TR,5.11a,1,40.0,37.91172,-122.48515
Periodontal Fracture,The Teeth > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105808413/periodontal-fracture,3.5,-1,"Trad, TR",5.10a,1,40.0,37.88262,-121.98489
Rust Never Sleeps,Grey Slab > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105736241/rust-never-sleeps,3.1,-1,"Sport, TR",5.10a R,1,40.0,37.88855,-122.63287
The Unsung War,Pagoda Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105806578/the-unsung-war,2.8,-1,Trad,5.10+,2,160.0,37.88044,-121.98579
V3/5.11,Old Man Boulder > Stinson Beach > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/108298241/v3511,2.9,-1,"TR, Boulder",5.11- V3,1,18.0,37.89169,-122.6352
The Old Man And The Sea 5.11+/5.12-,Main Wall > Cliff House Boulders > San Francisco > San Francisco Bay Area > California,https://www.mountainproject.com/route/121267271/the-old-man-and-the-sea-511512,3.0,-1,"TR, Boulder",5.11+ V3 PG13,1,20.0,37.77776,-122.51356
Neater Pickles,Woodside Rock > South Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/119556208/neater-pickles,3.0,-1,"Sport, TR",5.7+ PG13,1,25.0,37.43849,-122.24062
Tough Titties Tamalapalas,Recalled to Life > Mount Tam Boulders > Mount Tamalpais > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/114396989/tough-titties-tamalapalas,3.0,-1,TR,5.11a,1,25.0,37.91054,-122.59474
Lakeview Slab Center,Lakeview Slab > Lakeview Boulders > Mount Tam Boulders > Mount Tamalpais > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/120385065/lakeview-slab-center,3.0,-1,TR,5.10d,1,,37.9288,-122.58987
Pinball Direct,Split Rock > Ring Mountain > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/105734933/pinball-direct,2.9,-1,TR,5.11b,1,20.0,37.91172,-122.48515
Kook Jams (chimney start),The Juice Shop > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124917478/kook-jams-chimney-start,3.5,-1,Trad,5.9+ PG13,1,20.0,37.87739,-122.61828
Toxic Masculinity,Kim's gym (aka Kym's Gym) > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124129260/toxic-masculinity,3.5,-1,Sport,5.10c,1,70.0,37.88,-122.62242
Fish n Chip,Tower of the People / The Nug > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124621635/fish-n-chip,3.7,-1,Sport,5.10c,1,40.0,37.87639,-122.60631
Give it to the Sea,Cobblestone Wall > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124079304/give-it-to-the-sea,3.1,-1,Trad,5.10+,1,90.0,37.88145,-122.62474
Um.,Kim's gym (aka Kym's Gym) > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124538049/um,3.1,-1,Sport,5.11a,1,40.0,37.88,-122.62242
The Inner Game,Cobblestone Wall > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124580441/the-inner-game,3.4,-1,Trad,5.11a PG13,1,,37.88145,-122.62474
Cobble Roof,Cobblestone Wall > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/125417015/cobble-roof,3.0,-1,Trad,5.11-,1,80.0,37.88145,-122.62474
Railing Moss,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124032744/railing-moss,3.0,-1,Sport,5.11b,1,50.0,37.8471,-121.9258
Starfish Enterprise,Tower of the People / The Nug > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/124621544/starfish-enterprise,3.5,-1,Sport,5.11b,2,120.0,37.87639,-122.60631
Steamy Escapades,Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/123892880/steamy-escapades,3.5,-1,Sport,5.11+,1,45.0,37.87717,-122.61789
