Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Beat Feet,Morrell's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105951927/beat-feet,3.0,-1,Trad,5.8,1,150.0,33.68572,-111.80174
Sphinctre Boy,Girlie Man Area > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107844949/sphinctre-boy,2.8,-1,"Trad, TR",5.9,1,60.0,33.68942,-111.79915
Renaissance Direct,Gardener's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105942285/renaissance-direct,3.0,-1,Trad,5.7 R,2,,33.68178,-111.80737
Spice Box,The Headwall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105899908/spice-box,3.0,-1,Sport,5.10-,3,225.0,33.51992,-111.97037
Chimera,Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107397849/chimera,3.2,-1,Sport,5.9 PG13,2,230.0,33.5192,-111.9694
Field of Dreams,Flatiron > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105797459/field-of-dreams,3.4,-1,Trad,5.10+,5,450.0,33.43761,-111.45433
Loafer's Choice,Loafer's Choice Slab > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105865456/loafers-choice,3.0,-1,Sport,5.10a,1,,33.7282,-111.8638
Y Crack,Y-Crack Boulder > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/106398178/y-crack,2.8,-1,"Trad, TR",5.9+,1,65.0,33.73183,-111.8637
Leave It To Beaver,Morrell's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107970068/leave-it-to-beaver,3.6,-1,Trad,5.10-,1,90.0,33.68572,-111.80174
Spinal Tap,Sven Tower 3 > Sven Towers > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/111330568/spinal-tap,3.4,-1,Trad,5.9,1,150.0,33.68722,-111.7946
Space Cadets,Morrell's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105916788/space-cadets,3.4,-1,Trad,5.10a/b,1,165.0,33.68572,-111.80174
