Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Scale Wall,Scale Wall > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735122/scale-wall,3.1,-1,Sport,5.10b/c,1,55.0,38.91564,-121.01437
Uncomfortably Dumb,Horseshoe Canyon > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735125/uncomfortably-dumb,2.9,-1,Sport,5.10b,1,80.0,38.91522,-121.01422
Destructomatic,Wreckage Wall > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/107754121/destructomatic,3.1,-1,Sport,5.11b,1,80.0,38.91441,-121.01485
Release the Lions,Twin Towers > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108002956/release-the-lions,3.7,-1,Sport,5.11c,1,100.0,38.91376,-121.01472
Howler Monkey,Wreckage Wall > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735317/howler-monkey,2.9,-1,Sport,5.11a,1,50.0,38.91441,-121.01485
Let's Roll,Twin Towers > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108057886/lets-roll,2.9,-1,Sport,5.11a,1,50.0,38.91376,-121.01472
Slab Crack,The Bayou (aka The Graveyard) > Rocklin (Deer Creek Park) > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108134663/slab-crack,3.1,-1,"Trad, TR, Boulder",5.7 V-easy X,1,20.0,38.78722,-121.23942
Das Rads,Twin Towers > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108742589/das-rads,3.6,-1,Sport,5.11c,1,75.0,38.91376,-121.01472
Roman Holiday,Twin Towers > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108270355/roman-holiday,3.0,-1,Sport,5.11a/b,2,200.0,38.91376,-121.01472
Ant Line,Mosquito Coast > Placerville > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106354887/ant-line,3.4,-1,Trad,5.11a/b,1,25.0,38.77569,-120.7484
Twist and Shout,Mosquito Coast > Placerville > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106354872/twist-and-shout,3.3,-1,Trad,5.10d,1,40.0,38.77569,-120.7484
Octopus' Gardens,Mosquito Coast > Placerville > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/112047229/octopus-gardens,3.5,-1,Trad,5.10a/b,1,40.0,38.77569,-120.7484
Hope You Like Eggplants,"Water Wall > ""Bare"" Rock > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/111961816/hope-you-like-eggplants,3.5,-1,TR,5.10c,1,70.0,38.90078,-121.05109
Roman Road,Twin Towers > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/111869204/roman-road,3.2,-1,Sport,5.11b/c,1,110.0,38.91376,-121.01472
