Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Lowe Route,Question Mark Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741137/lowe-route,3.9,-1,"Trad, Alpine",5.8,3,,40.52459,-111.75637
The Coffin,Coffin Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740048/the-coffin,3.8,-1,Trad,5.9,1,80.0,40.57418,-111.77065
Arm and Hammer,Middle Bell Tower > Bell's Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741977/arm-and-hammer,3.8,-1,Trad,5.10b,6,600.0,40.56225,-111.76512
S-Direct,The Thumb Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740654/s-direct,3.8,-1,Trad,5.9+ R,7,800.0,40.5746,-111.7574
Sasquatch,Pentapitch Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105739898/sasquatch,3.8,-1,Trad,5.9+,1,,40.56859,-111.73767
Triple Overhangs,Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741389/triple-overhangs,3.8,-1,"Trad, Alpine",5.10a,4,550.0,40.52645,-111.75527
Enter the Dragon,Dragon Arch > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106613481/enter-the-dragon,3.8,-1,Trad,5.11-,3,300.0,40.57426,-111.76793
Medussa,Tower One > Hellgate Cliffs > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105949830/medussa,3.8,-1,Sport,5.11b/c,1,80.0,40.59015,-111.64812
The Fin Arete,Upper Fin > The Fin > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741425/the-fin-arete,3.8,-1,Trad,5.10b R,3,400.0,40.57399,-111.76119
Vertical Smile,Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741782/vertical-smile,3.8,-1,"Trad, Alpine",5.10a,1,,40.52645,-111.75527
Center Thumb,South Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741161/center-thumb,3.8,-1,"Trad, Alpine",5.9,5,550.0,40.52551,-111.7558
Bongeater,Bongeater Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105741173/bongeater,3.7,-1,Trad,5.10d,1,80.0,40.5747,-111.7734
Mexican Crack,Crescent Crack Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740603/mexican-crack,3.7,-1,Trad,5.10a,1,90.0,40.5733,-111.771
