Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Uncertainty Principle,Uncertainty Principle Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105796563/uncertainty-principle,3.8,-1,TR,5.11c,1,35.0,33.00533,-116.9666
Leonids,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105793305/leonids,3.6,-1,Sport,5.9,3,350.0,32.90461,-116.81845
Robbins Crack,Robbins Boulder > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105792316/robbins-crack,3.5,-1,Trad,5.10a,1,35.0,33.0056,-116.96588
Crucible,Summit Area West > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105803108/crucible,3.6,-1,"Trad, TR",5.10b/c,1,25.0,33.00856,-116.97276
Meteor,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/107352012/meteor,3.4,-1,Sport,5.8,4,400.0,32.90461,-116.81845
Big Grunt,Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105941695/big-grunt,3.7,-1,TR,5.9+,1,30.0,33.00759,-116.96769
Triton Tower,Triton Tower > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105835122/triton-tower,3.5,-1,Sport,5.11a,3,360.0,32.90453,-116.81805
Jaws,Jaws Vicinity > Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105791650/jaws,3.4,-1,"Trad, Boulder",5.11a V1,1,15.0,33.00579,-116.96748
Cat Crack,Rexrodes > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/109868075/cat-crack,3.9,-1,"Trad, TR",5.11a/b,1,45.0,32.99876,-116.96932
Out of Sight,Out of Sight Boulder Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105932005/out-of-sight,3.3,-1,Trad,5.9,1,35.0,33.01016,-116.96838
Rockwork Orange,Rockwork Orange Boulder > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105792831/rockwork-orange,3.3,-1,Trad,5.10a,1,25.0,33.00567,-116.96965
The Cave,Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105796678/the-cave,3.3,-1,TR,5.11a,1,20.0,33.00766,-116.96946
Craig's Crack,Limbo Area > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105897365/craigs-crack,3.1,-1,Trad,5.8,1,35.0,32.8255,-117.051
Digit's Delight,Right side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105796703/digits-delight,3.2,-1,"Trad, TR",5.10d,1,20.0,33.00828,-116.96938
The Ramp,Lunch Rock > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105791625/the-ramp,3.0,-1,"Trad, TR",5.7,1,60.0,32.8261,-117.051
Milkbar,Milkbar Boulder > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105793003/milkbar,3.0,-1,Trad,5.8,1,35.0,33.00551,-116.96912
Orange Sunshine,Middle Earth > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105849312/orange-sunshine,3.0,-1,Sport,5.10d,1,40.0,32.8242,-117.051
Elsa's Crack,Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105820087/elsas-crack,2.8,-1,"Trad, TR",5.7,1,20.0,33.00759,-116.96769
The Y Crack,The Y Crack Area > Dixon Lake > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105802530/the-y-crack,2.8,-1,"Trad, TR",5.7,1,,33.16204,-117.05318
Glamdring,Middle Earth > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/106064372/glamdring,2.9,-1,Sport,5.11a,1,50.0,32.8242,-117.051
Mariah,Main Wall > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105791139/mariah,3.0,-1,"Trad, TR",5.10a,1,60.0,32.82665,-117.05071
Eric's Face,Robbins Boulder > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105795947/erics-face,2.9,-1,TR,5.11a/b,1,25.0,33.0056,-116.96588
Escapade,Main Wall > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105791578/escapade,3.1,-1,"Sport, TR",5.11a,1,80.0,32.82665,-117.05071
Big Horn,Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105803666/big-horn,2.8,-1,"Trad, Boulder",5.8+ V0-,1,12.0,33.00766,-116.96946
Hard as Nails,Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/106118502/hard-as-nails,3.9,-1,"Trad, TR",5.11c,1,30.0,33.0066,-116.96539
Sickle Crack,Sickle Crack Boulder > The Playground Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105791745/sickle-crack,3.2,-1,"Trad, TR",5.8+,1,20.0,33.00394,-116.96683
Starface,Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105846482/starface,3.8,-1,TR,5.11a,1,30.0,33.00766,-116.96946
Tears of Envy,Center/Headwall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/111177054/tears-of-envy,3.8,-1,Sport,5.11b,1,100.0,32.90462,-116.81783
The Shoulder,The Roof Area > Dixon Lake > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105802549/the-shoulder,3.1,-1,"Trad, TR",5.10a,1,40.0,33.16195,-117.05335
Mañana,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105835105/manana,3.1,-1,Sport,5.10b/c,2,365.0,32.90461,-116.81845
Gallwas Crack,Main Wall > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105853289/gallwas-crack,2.8,-1,Trad,5.9+,1,70.0,32.82665,-117.05071
Yoav Crack  1,The Yoav Cracks > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/109830357/yoav-crack-1,3.5,-1,Trad,5.10a,1,30.0,33.00749,-116.98251
Alcoa,Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105796658/alcoa,3.4,-1,TR,5.11c,1,17.0,33.00766,-116.96946
Crackamite,Right Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/107986021/crackamite,3.8,-1,Trad,5.11a,1,100.0,32.90499,-116.81671
Lord of the Rings,Middle Earth > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105794217/lord-of-the-rings,2.9,-1,Sport,5.10c,1,25.0,32.8242,-117.051
Apostrophe,Limbo Area > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105794225/apostrophe,2.8,-1,"Trad, TR",5.9,1,45.0,32.8255,-117.051
Mission Gorge Traverse,Main Wall > Mission Gorge > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/105982889/mission-gorge-traverse,3.3,-1,Trad,5.8,1,100.0,32.82665,-117.05071
Mother Superior,Mother Superior Boulder > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105796521/mother-superior,4.0,-1,"Trad, TR",5.11+,1,22.0,33.00803,-116.96831
Fake Phantom Crack,Out of Sight Boulder Area > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/105931357/fake-phantom-crack,3.0,-1,Trad,5.8,1,50.0,33.01016,-116.96838
