Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The No Crack Traverse,UW Rock > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123408187/the-no-crack-traverse,4.0,-1,TR,5.11,1,130.0,47.6481,-122.301
New Route,Ramps To Nowhere > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118307588/new-route,4.0,-1,TR,5.11b,1,80.0,47.64408,-122.29441
Standard Route,Campanile (aka Three Brick Monoliths) > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118336757/standard-route,4.0,-1,Sport,5.9 X,1,150.0,47.65624,-122.30986
Super Mario Park,Downtown > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118325613/super-mario-park,4.0,-1,TR,5.11 R,1,40.0,47.60388,-122.33009
Old Route,Ramps To Nowhere > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118307478/old-route,4.0,-1,TR,5.10b,1,40.0,47.64408,-122.29441
West Chimney,Campanile (aka Three Brick Monoliths) > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118336782/west-chimney,4.0,-1,TR,5.10,1,150.0,47.65624,-122.30986
Fork Yeah,The Kenticle Proper > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119825555/fork-yeah,4.0,-1,TR,5.10a/b,1,50.0,47.38585,-122.18722
South Face Direct,Art Building > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118334615/south-face-direct,4.0,-1,Trad,5.10,1,45.0,47.65847,-122.3064
Northeast Corner,Architecture Hall > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118334729/northeast-corner,4.0,-1,TR,5.10,1,45.0,47.6546,-122.31085
The Rock Traverse,UW Rock > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123408177/the-rock-traverse,3.5,-1,TR,5.10,1,130.0,47.6481,-122.301
Volunteer Park Water Tower,Volunteer Park Water Tower > Seattle Urban Climbing > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106515697/volunteer-park-water-tower,3.1,-1,TR,5.9+,1,75.0,47.62901,-122.31455
East Side Crack (Wall Features Only),The Kenticle Proper > Kent East Hill Skate Park (AKA The Kenticle) > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/112851856/east-side-crack-wall-features-only,3.2,-1,Sport,5.10-,1,50.0,47.38585,-122.18722
Hand Crack,Bank of America > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118339324/hand-crack,3.0,-1,TR,5.8,1,20.0,47.66343,-122.31344
"North Rib, all holds",East face and north rib > North Buttress > Marymoor Park Outdoor Sport Crag > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/113550790/north-rib-all-holds,3.0,-1,"Sport, TR",5.8+,1,30.0,47.66431,-122.11148
Arete,North Face & N. Dihedral > South Buttress > Marymoor Park Outdoor Sport Crag > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/113581930/arete,3.0,-1,"Sport, TR",5.8,1,45.0,47.66429,-122.11146
