Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Corrugation Corner,Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105872293/corrugation-corner,3.9,-1,Trad,5.7,3,300.0,38.80006,-120.13522
Bear's Reach,East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105798294/bears-reach,3.4,-1,Trad,5.7,3,400.0,38.80261,-120.13204
Hospital Corner,West Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105798333/hospital-corner,3.9,-1,Trad,5.10a,2,240.0,38.7991,-120.1361
One Of These Days,One Of These Days Buttress > Cloudburst Canyon > Woodfords Canyon > Carson Pass Highway (88) > Lake Tahoe > California,https://www.mountainproject.com/route/106535215/one-of-these-days,3.9,-1,Trad,5.10c,1,115.0,38.76132,-119.86108
The Line,East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105798280/the-line,3.7,-1,Trad,5.9,3,320.0,38.80261,-120.13204
Candyland,Middle Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105875517/candyland,3.8,-1,Trad,5.10c,1,,38.7875,-120.2441
Seams to Me,Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/105879356/seams-to-me,3.8,-1,Trad,5.10c,1,,38.93997,-120.12315
Traveler Buttress,Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105812520/traveler-buttress,3.6,-1,Trad,5.9,4,500.0,38.80006,-120.13522
The Fracture,East Face > Sugarloaf > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105875824/the-fracture,3.7,-1,Trad,5.10d,1,,38.77622,-120.30784
Boot Hill,Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105872309/boot-hill,3.8,-1,Sport,5.11,1,100.0,38.80006,-120.13522
Fear of Flying,Upper Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105858248/fear-of-flying,3.7,-1,Trad,5.9+,2,,38.78867,-120.24518
