Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Black September,3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105981506/black-september,3.8,-1,Trad,5.9,1,110.0,39.32564,-120.31425
Made In Japan,Space Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735761/made-in-japan,3.9,-1,Sport,5.11a,1,90.0,39.32331,-120.31591
Seams to Me,Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/105879356/seams-to-me,3.8,-1,Trad,5.10c,1,,38.93997,-120.12315
Peter Principle,1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735527/peter-principle,3.8,-1,"Trad, TR",5.11a,1,80.0,39.31642,-120.31884
One Hand Clapping,1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105736426/one-hand-clapping,3.6,-1,Trad,5.9,4,400.0,39.32485,-120.31463
Space Truckin',Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/105876300/space-truckin,3.6,-1,Trad,5.10a/b,1,110.0,38.93997,-120.12315
Super Size Me,Fast Food Wall > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108073763/super-size-me,3.6,-1,Sport,5.11a,1,80.0,39.32749,-120.64662
Step Into The Light,Kudos Left > Kudos Cliff > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108143932/step-into-the-light,3.5,-1,Sport,5.10c,1,70.0,39.32721,-120.64672
Charlee And The Stick Factory,The Fortress > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108070248/charlee-and-the-stick-factory,3.6,-1,Sport,5.11a,1,70.0,39.32525,-120.6488
Farewell To Arms,3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105885838/farewell-to-arms,3.5,-1,Trad,5.10b,1,,39.31601,-120.31834
Firecracker,1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105927635/firecracker,3.6,-1,Trad,5.10b,1,70.0,39.32485,-120.31463
Nova Express,3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105885835/nova-express,3.5,-1,Trad,5.9+,1,,39.31601,-120.31834
Jellyroll Arch,East Face > Grouse Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735152/jellyroll-arch,3.4,-1,Trad,5.8,2,200.0,39.32288,-120.31851
Bottomless Topless,1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735521/bottomless-topless,3.5,-1,"Trad, TR",5.10a,1,80.0,39.31642,-120.31884
Disciples Of The New Wave,3. Gully - Right Side > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735524/disciples-of-the-new-wave,3.5,-1,Sport,5.11b/c,1,70.0,39.31612,-120.31919
Little Feat,3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105734963/little-feat,3.5,-1,Sport,5.11a/b,1,80.0,39.31601,-120.31834
Aerial,1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735512/aerial,3.4,-1,Sport,5.11a,1,60.0,39.31642,-120.31884
Touch and Go,1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106180304/touch-and-go,3.4,-1,Trad,5.9,4,370.0,39.32485,-120.31463
Duppy Conqueror,Kudos Left > Kudos Cliff > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108143941/duppy-conqueror,3.4,-1,Sport,5.11c,1,70.0,39.32721,-120.64672
Cast In Stone,The Negativity Cave > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108157965/cast-in-stone,3.3,-1,Sport,5.8,2,200.0,39.32618,-120.6478
Rock n Rolla,Candy Land > Bowman Valley > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108013091/rock-n-rolla,3.3,-1,Sport,5.9,1,80.0,39.44101,-120.65802
Long Shot,The Cove > Bowman Valley > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108390274/long-shot,3.2,-1,Sport,5.10c,1,100.0,39.4398,-120.6585
Where's The Beef,Fast Food Wall > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/111953469/wheres-the-beef,3.2,-1,Sport,5.10c,1,100.0,39.32749,-120.64662
Quest for Glory,Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/106663119/quest-for-glory,3.4,-1,Trad,5.10d,1,,38.93997,-120.12315
Rated X,3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106490139/rated-x,3.0,-1,Trad,5.8,2,200.0,39.32564,-120.31425
Molar Concentration,2. Gully - Left Side > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105947661/molar-concentration,3.0,-1,Trad,5.10b,1,60.0,39.31615,-120.31908
Goldilocks,Goldilocks Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105898554/goldilocks,3.2,-1,"Sport, TR",5.11a,1,,39.31662,-120.32456
Push To Open,The Dollar Store > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108284980/push-to-open,2.9,-1,Sport,5.10a,1,60.0,39.325,-120.64942
In And Out Urge,Fast Food Wall > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/108020360/in-and-out-urge,3.3,-1,Sport,5.11c,1,90.0,39.32749,-120.64662
Hair Shirt,3. Gully - Right Side > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105735518/hair-shirt,2.9,-1,"Trad, TR",5.8,1,80.0,39.31612,-120.31919
Pow Wow,Center Wall > Big Chief Area > Truckee River Canyon > Lake Tahoe > California,https://www.mountainproject.com/route/105734978/pow-wow,2.9,-1,Sport,5.11a,1,30.0,39.2451,-120.20291
Karl's Gym,1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105734966/karls-gym,2.9,-1,Trad,5.10d,1,50.0,39.31642,-120.31884
Totality,Chalkporium > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/113508768/totality,3.1,-1,Sport,5.10d,1,70.0,39.32493,-120.64921
Jam Session,2. Gully - Left Side > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/105927675/jam-session,2.8,-1,Trad,5.10b,1,70.0,39.31615,-120.31908
Primer,1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106501604/primer,2.8,-1,Trad,5.9,1,50.0,39.32485,-120.31463
Diamond,Right Side > Mayhem Cove > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/105735206/diamond,2.9,-1,Sport,5.10b,1,90.0,38.9535,-120.11447
Finger Licker,3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California,https://www.mountainproject.com/route/106243936/finger-licker,3.3,-1,Trad,5.11a,1,70.0,39.32564,-120.31425
Cubic Zarconia,Right Side > Mayhem Cove > Eagle Creek Canyon > West Shore > Lake Tahoe > California,https://www.mountainproject.com/route/106847544/cubic-zarconia,2.8,-1,Sport,5.10a/b,1,100.0,38.9535,-120.11447
