Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Two Kings And A Pawn,4 - Queen > Chessman Area > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106768707/two-kings-and-a-pawn,3.8,-1,Sport,5.11b,1,85.0,32.36032,-110.71983
Void of Form,Pontatoc Ridge > Pontatoc Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/114262472/void-of-form,3.2,-1,Sport,5.9,10,1000.0,32.34528,-110.88783
Go Speed Racer,Pinhead Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107387719/go-speed-racer,3.6,-1,Sport,5.10+,1,80.0,32.31622,-110.74202
Old Man,South Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738335/old-man,3.6,-1,Trad,5.9,1,90.0,32.36751,-110.71926
R-4,Rupley Towers > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738806/r-4,3.6,-1,Trad,5.9,1,130.0,32.36736,-110.71377
Steve's Arete,Hunchback Pinnacle > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738338/steves-arete,3.4,-1,Sport,5.11a,1,40.0,32.36722,-110.71557
Centerpiece,Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738614/centerpiece,3.5,-1,Trad,5.10-,1,100.0,32.36917,-110.70446
Arizona Flyways,Anduriel Tower > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105808558/arizona-flyways,3.4,-1,Sport,5.11c,1,70.0,32.36788,-110.71276
Steel Crazy,Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738236/steel-crazy,3.3,-1,Sport,5.9,4,450.0,32.43213,-110.79756
Chihuahua Power,Lost Hawk > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738506/chihuahua-power,3.3,-1,Sport,5.9,1,100.0,32.3704,-110.70788
Rapture of the Steep,Neptune > Reef of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106197192/rapture-of-the-steep,3.9,-1,Trad,5.10b/c,2,,32.46039,-110.78419
Just Do It,Punch and Judy Towers > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105808540/just-do-it,3.4,-1,Sport,5.11a,1,80.0,32.3683,-110.7125
Nang,North Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106014697/nang,3.3,-1,Trad,5.10b,1,160.0,32.36755,-110.71953
Armed Robbery,Jailhouse Rock > Prison Camp (Gordon Hirabayashi) Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105927598/armed-robbery,3.1,-1,Sport,5.11,1,45.0,32.33325,-110.72501
Stoner's Boner,Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738392/stoners-boner,3.1,-1,Trad,5.9,1,120.0,32.36917,-110.70446
R-1,Rupley Towers > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738449/r-1,3.1,-1,Trad,5.8+,2,120.0,32.36736,-110.71377
Agatha Christie (Direct),North Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738221/agatha-christie-direct,3.1,-1,"Trad, TR",5.8,1,90.0,32.36755,-110.71953
Slippery When Wet,North Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738227/slippery-when-wet,3.0,-1,Trad,5.7,2,130.0,32.36755,-110.71953
In Lightning,West Face > The Druid > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738353/in-lightning,3.0,-1,Sport,5.8,2,180.0,32.40573,-110.72538
Virgin's Airline,"Forgotten Wall, Control Tower & Up The Creek Wall > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080211/virgins-airline,3.1,-1,Sport,5.10,1,115.0,32.35534,-110.71812
Mistaken Identity,Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738404/mistaken-identity,2.9,-1,Trad,5.9,1,90.0,32.36917,-110.70446
Walking the Plank,The Draw Pile. > Crags Against Humanity > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/111851511/walking-the-plank,2.9,-1,Sport,5.9,1,70.0,32.32441,-110.70657
Raycreation,Upper Wall > Raycreation Area > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106828858/raycreation,2.9,-1,Sport,5.11-,1,55.0,32.42467,-110.74639
Four Play,Main Wall > La Milagrosa Canyon > Southern Arizona > Arizona,https://www.mountainproject.com/route/105895582/four-play,2.9,-1,Sport,5.11b,1,60.0,32.29825,-110.71317
Black Feather,The Ruins > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105828064/black-feather,2.9,-1,Sport,5.10c,1,,32.32318,-110.69297
Community Service,Main Wall > La Milagrosa Canyon > Southern Arizona > Arizona,https://www.mountainproject.com/route/105895574/community-service,2.9,-1,Sport,5.10a,1,60.0,32.29825,-110.71317
Histoplasmosis,North Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106064102/histoplasmosis,3.9,-1,Trad,5.11+,1,130.0,32.36755,-110.71953
The Planet Eater,Middle Earth > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106363138/the-planet-eater,3.6,-1,Sport,5.11,3,250.0,32.3804,-110.70245
Fort Stress,Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738359/fort-stress,3.3,-1,Sport,5.9+,4,400.0,32.43213,-110.79756
Birthday Girl,Anduriel Tower > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105837756/birthday-girl,3.0,-1,Sport,5.10,1,70.0,32.36788,-110.71276
El Curvo,East Face > Raven C > The Ravens > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106512353/el-curvo,3.7,-1,Sport,5.10+,1,130.0,32.43327,-110.79691
Lizard Marmalade Direct,Punch and Judy Towers > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105808545/lizard-marmalade-direct,3.8,-1,Trad,5.10+,1,135.0,32.3683,-110.7125
Blood Book,"Forgotten Wall, Control Tower & Up The Creek Wall > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080194/blood-book,3.3,-1,Trad,5.10-,1,60.0,32.35534,-110.71812
Single Lens Reflex,Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738407/single-lens-reflex,3.6,-1,Trad,5.10b,1,120.0,32.36917,-110.70446
Mean Mistreater,Mean Mistreater Wall > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738509/mean-mistreater,3.4,-1,Trad,5.10c,2,170.0,32.36734,-110.72058
Crows Nest,Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738593/crows-nest,3.5,-1,Trad,5.10b,2,220.0,32.36917,-110.70446
