Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Guillotine","The Alcove > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106627453/the-guillotine,3.4,-1,Sport,5.10a/b,1,90,34.12499,-118.92562
"Feel The Bern","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/111695975/feel-the-bern,3.4,-1,Sport,5.11b,1,90,34.09567,-118.72976
"Marauding Monkeys","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106905068/marauding-monkeys,3.3,-1,Sport,5.11a,1,90,34.09567,-118.72976
Caffeine,"Java Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105838362/caffeine,3.3,-1,Sport,5.11b,1,100,34.12522,-118.92704
"Johnny Can't Lead","Ghetto Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105895926/johnny-cant-lead,3.2,-1,Sport,5.11a,1,40,34.09524,-118.73109
Espresso,"Java Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105832745/espresso,3.2,-1,Sport,5.11a,1,90,34.12522,-118.92704
"Planet of the Apes","Planet of the Apes Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106239437/planet-of-the-apes,3.2,-1,TR,5.11a,1,70,34.09765,-118.72905
Luscious,"Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106195514/luscious,3.1,-1,Sport,5.11b,1,60,34.09567,-118.72976
"Mr. Big","Stumbling Blocks > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105904196/mr-big,3.1,-1,Sport,5.10d,1,35,34.09602,-118.73011
"Rolling Blackout","The Power Wall > Century Lake Area > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106000594/rolling-blackout,3.1,-1,Sport,5.10c/d,1,50,34.098,-118.734
Letterbox,"Stumbling Blocks > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105922457/letterbox,3.0,-1,Sport,5.11b/c,1,,34.09602,-118.73011
Delicious,"Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106098233/delicious,3.0,-1,Sport,5.10d,1,85,34.09567,-118.72976
"Casey at the Bat","Easy Street > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105838333/casey-at-the-bat,3.0,-1,Sport,5.10b,1,100,34.12531,-118.92429
Intellitoys,"Test Site > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106642000/intellitoys,2.9,-1,Sport,5.9,1,85,34.12537,-118.92629
"Family Jewel","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105904189/family-jewel,2.9,-1,Sport,5.10c,1,50,34.09567,-118.72976
"Route 2 - The Roof Route","Corpse Wall > Saddle Peak > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106396579/route-2-the-roof-route,2.9,-1,Sport,5.10a,1,90,34.07931,-118.65874
"The Green Mile","The Egg > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107152827/the-green-mile,3.3,-1,Sport,5.11a,1,60,34.51316,-118.40187
"Power Station","The Power Wall > Century Lake Area > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106000584/power-station,2.9,-1,Sport,5.10b,1,50,34.098,-118.734
"Skeezer Pleaser","Ghetto Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105922438/skeezer-pleaser,2.8,-1,Sport,5.11b,1,45,34.09524,-118.73109
"Death by Chocolate","Chocolate Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106032997/death-by-chocolate,2.8,-1,Sport,5.11a,1,,34.12528,-118.92631
"Sculpture's Crack","Sculpture's Crack Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106055109/sculptures-crack,3.4,-1,TR,5.10c,1,40,34.27146,-118.60379
"Maggie's Farm","Nabisco Canyon > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106061742/maggies-farm,3.5,-1,TR,5.11b,1,50,34.27145,-118.60406
"Climate Changed","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/116489942/climate-changed,3.2,-1,Sport,5.10c/d,1,70,34.09567,-118.72976
Americano,"Java Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105838371/americano,3.0,-1,Sport,5.11a,1,100,34.12522,-118.92704
"The Nutcracker","Nutcracker Buttress > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105990407/the-nutcracker,3.3,-1,TR,5.10a,1,50,34.27163,-118.60414
Windfall,"Treasure Towers > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105917343/windfall,3.3,-1,Sport,5.11a,1,70,34.12485,-118.92574
"Before The Storm","The First Corridor > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107692741/before-the-storm,3.1,-1,Sport,5.10b,1,95,34.51328,-118.40175
"Restrain This","Pink Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106119310/restrain-this,2.9,-1,Sport,5.11,1,80,34.1116,-118.9264
"Malibu's Most Wanted (DO NOT CLIMB: CROW NEST ON ROUTE)","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/113940859/malibus-most-wanted-do-not-climb-crow-nest-on-route,3.1,-1,Sport,5.11b,1,95,34.09567,-118.72976
"Birthday Boy","Planet of the Apes Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106239443/birthday-boy,2.9,-1,TR,5.11a/b,1,70,34.09765,-118.72905
