Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Permanent Income Hypothesis","Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105906865/permanent-income-hypothesis,3.5,-1,Sport,5.9,1,180,34.58355,-119.26301
"Post Orgasmic Depression(AKA P.O.D.)","East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/105952181/post-orgasmic-depressionaka-pod,3.5,-1,Sport,5.11a,1,60,36.47306,-121.18643
"The Verdict (direct)","Discovery Wall > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/106018177/the-verdict-direct,3.5,-1,Sport,5.11b,1,80,36.4759,-121.18616
"Ending Crack","Sespe Gorge (Black Wall) > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105796895/ending-crack,3.4,-1,Trad,"5.7 PG13",2,300,34.5776,-119.2579
Camel,"Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737252/camel,3.4,-1,"Sport, TR",5.10b/c,1,50,35.30227,-120.69427
P-Crack,"P-Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737282/p-crack,3.1,-1,Trad,5.9-,1,80,35.30267,-120.69574
"Only Way To Fly","Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737333/only-way-to-fly,3.2,-1,"Sport, TR",5.10c,1,50,35.30227,-120.69427
"Cantaloupe of Death","East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/106289530/cantaloupe-of-death,3.1,-1,Sport,5.10c,1,60,36.47306,-121.18643
Economique,"Wheeler Gorge > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105798270/economique,3.1,-1,Sport,5.10a,1,80,34.5075,-119.2757
"Rat Race","Tourist Trap > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/107002590/rat-race,3.0,-1,"Trad, TR",5.8-,1,70,36.47809,-121.18544
T-Crack,"Gibraltar Rock > Gibraltar Area > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/105793049/t-crack,3.7,-1,"Trad, TR",5.10c,1,60,34.4771,-119.6802
"Subterranean Tango","East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/105952200/subterranean-tango,3.0,-1,Sport,"5.10a R",1,80,36.47306,-121.18643
Foreplay,"East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/105952192/foreplay,3.5,-1,Sport,5.11b,1,60,36.47306,-121.18643
"The Jesus","Little Lebowski Urban Achievers Crag > The Playground > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/105800199/the-jesus,3.0,-1,"Sport, TR",5.10c,1,50,34.4965,-119.85233
"Civilized Evil","Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737258/civilized-evil,3.0,-1,"Trad, TR",5.10a,1,50,35.30227,-120.69427
Ordeal,"Discovery Wall > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/105867099/ordeal,2.9,-1,Trad,5.8,1,80,36.4759,-121.18616
"Mouse Maze","Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/106268934/mouse-maze,2.8,-1,"Trad, Sport","5.9 PG13",1,40,35.30227,-120.69427
Shadow,"Shadow Rock > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737279/shadow,3.1,-1,"Sport, TR","5.8 R",1,80,35.3037,-120.69618
"Great Race","San Ysidro > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/105794586/great-race,3.0,-1,"Sport, TR",5.10a,1,70,34.45379,-119.62329
"Feed the Beast","East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/106018168/feed-the-beast,3.2,-1,Sport,5.11c,1,50,36.47306,-121.18643
