Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tufa Yard Dash","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106579242/tufa-yard-dash,3.9,-1,Sport,5.11c,1,70,33.17567,-110.78048
"The Totem Pole","Totem-Proto Area > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105861164/the-totem-pole,3.6,-1,Sport,5.10c/d,2,150,33.27587,-111.02832
"Magnolia Thunderpussy","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105886456/magnolia-thunderpussy,3.6,-1,Trad,5.9,3,,34.62908,-112.56665
"The Classic","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105978422/the-classic,3.5,-1,Trad,5.7+,3,,34.62908,-112.56665
"Pocket Puzzle","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105830204/pocket-puzzle,3.4,-1,Sport,5.10a,1,,33.3104,-111.06756
"Ride the Wild","Lower Looner Land > The Mine Area > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106430532/ride-the-wild,3.1,-1,Sport,5.9,1,50,33.29956,-111.06993
"The Trident","Atlantis South Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/113675537/the-trident,3.0,-1,Sport,5.9,3,265,33.30561,-111.07634
"Arete Horizon","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106401811/arete-horizon,3.1,-1,Sport,5.10a,1,75,33.3104,-111.06756
"Everything's Gone Green","Main Wall - Center > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105816160/everythings-gone-green,3.1,-1,Trad,5.9,1,90,34.36096,-111.45015
Neptune,"Atlantis North Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105979723/neptune,3.0,-1,Sport,5.10a,1,85,33.30561,-111.07634
Candyland,"Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106018270/candyland,3.9,-1,Trad,5.10,5,450,34.62908,-112.56665
"The Soft Parade","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106096694/the-soft-parade,3.0,-1,Sport,5.11b,1,85,33.3104,-111.06756
"Giggling Marlin","Atlantis South Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106390228/giggling-marlin,3.0,-1,Sport,5.9,1,85,33.30561,-111.07634
"Life By The Drop","Main Wall - North > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106032060/life-by-the-drop,3.0,-1,Sport,5.10,1,90,34.36086,-111.45007
"In Seam","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106078957/in-seam,2.9,-1,Sport,5.10c,1,70,33.3104,-111.06756
"Vitamin M","Main Wall - Center > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106030661/vitamin-m,3.3,-1,Sport,5.11b,1,80,34.36096,-111.45015
Tufa-one,"Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/107012739/tufa-one,3.5,-1,Sport,5.11b,1,,33.17567,-110.78048
"Ali Cat","Atlantis South Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/112274188/ali-cat,2.8,-1,Sport,5.7,1,90,33.30561,-111.07634
"Angel Wing","Main Wall - South > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105821097/angel-wing,3.5,-1,Sport,5.10b/c,3,260,34.36127,-111.45026
"John's Meat Market  (aka: Fred's Line)","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106639144/johns-meat-market-aka-freds-line,3.1,-1,Sport,5.11a,1,,33.17567,-110.78048
"Pathological Optimist","Totem-Proto Area > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/107945505/pathological-optimist,3.5,-1,"Trad, Sport",5.10,1,110,33.27587,-111.02832
"Beat Feet","Morrell's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105951927/beat-feet,3.0,-1,Trad,5.8,1,150,33.68572,-111.80174
Reunion,"Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105803377/reunion,3.8,-1,Trad,5.10-,4,250,34.62908,-112.56665
"Morning Mate","Cow Town Buttress > Rough Rider Zone > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106785497/morning-mate,3.6,-1,Sport,5.11b,1,90,33.17393,-110.7795
"Great Race","Main Wall - Center > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105816188/great-race,3.2,-1,Sport,5.10c/d,1,80,34.36096,-111.45015
"Coatimundi / Candyland LInkup","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/107859542/coatimundi-candyland-linkup,3.9,-1,Trad,5.9,4,400,34.62908,-112.56665
"Kestrel's Last Stand","Main Wall - South > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/107324267/kestrels-last-stand,3.2,-1,Sport,5.10b,1,110,34.36127,-111.45026
"Sphinctre Boy","Girlie Man Area > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107844949/sphinctre-boy,2.8,-1,"Trad, TR",5.9,1,60,33.68942,-111.79915
"The Big Weld Show","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106376142/the-big-weld-show,3.1,-1,Sport,5.11a,1,90,33.3104,-111.06756
"Space Hog","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106665870/space-hog,2.8,-1,Sport,5.10c,1,65,33.3104,-111.06756
"Appetite For Destruction","North Buttress > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/108066328/appetite-for-destruction,3.4,-1,Sport,5.11-,1,115,33.17361,-110.77796
"Co-op Crack","Co-op Crack Area > High Rappel Area > Granite Gardens > Granite Dells > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105804181/co-op-crack,3.0,-1,Trad,5.10b,2,120,34.60651,-112.42063
"Renaissance Direct","Gardener's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105942285/renaissance-direct,3.0,-1,Trad,"5.7 R",2,,33.68178,-111.80737
"Walking Dead Arete","Main Wall - Center > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105816244/walking-dead-arete,3.1,-1,Trad,5.10b,1,190,34.36096,-111.45015
"The Slammer Jam","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105886478/the-slammer-jam,3.6,-1,Trad,5.10,5,,34.62908,-112.56665
"Crack Lover's Variation","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105977734/crack-lovers-variation,3.2,-1,Trad,5.9,2,200,34.62908,-112.56665
Kingpin,"Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105886467/kingpin,3.9,-1,Trad,"5.10 PG13",5,450,34.62908,-112.56665
"Pole Dancing Dragons","The Funny Farm > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/116492650/pole-dancing-dragons,3.1,-1,Sport,5.8,2,164,33.30497,-111.07714
"Spice Box","The Headwall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105899908/spice-box,3.0,-1,Sport,5.10-,3,225,33.51992,-111.97037
"Stellar Arete","Main Wall - South > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106061110/stellar-arete,3.3,-1,Sport,5.11a,1,95,34.36127,-111.45026
Chimera,"Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107397849/chimera,3.2,-1,Sport,"5.9 PG13",2,230,33.5192,-111.9694
"Great Northern","North Buttress > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/107589469/great-northern,3.8,-1,Sport,5.11+,1,110,33.17361,-110.77796
"Said and Done","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106607543/said-and-done,3.6,-1,Trad,5.9+,3,,34.62908,-112.56665
"Radical Self Expression","Finland Terrace > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106676915/radical-self-expression,3.5,-1,Sport,5.11,1,85,33.17507,-110.78122
"Field of Dreams","Flatiron > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105797459/field-of-dreams,3.4,-1,Trad,5.10+,5,450,33.43761,-111.45433
"Chiêu Hôi","Right Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105803635/chieu-hoi,3.3,-1,Trad,5.9,3,300,34.629,-112.56564
"Couples Fear Factor","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106071035/couples-fear-factor,3.0,-1,Sport,5.11c,1,45,33.17567,-110.78048
"Loafer's Choice","Loafer's Choice Slab > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/105865456/loafers-choice,3.0,-1,Sport,5.10a,1,,33.7282,-111.8638
"Prymal Instinct","North Buttress > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/107551304/prymal-instinct,3.4,-1,Sport,5.11-,1,115,33.17361,-110.77796
"Y Crack","Y-Crack Boulder > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106398178/y-crack,2.8,-1,"Trad, TR",5.9+,1,65,33.73183,-111.8637
"The Shmotem Pole","The Shmotem Pole > Lower Devil's East  (LDE) > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106567570/the-shmotem-pole,3.1,-1,Trad,5.10b,3,250,33.27713,-111.02614
"Ground Effects","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/105952433/ground-effects,2.9,-1,Sport,5.11b/c,1,35,33.17567,-110.78048
"Jesus is Real","The Funny Farm > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/119535303/jesus-is-real,3.9,-1,Sport,5.11,1,70,33.30497,-111.07714
"Coatimundi Whiteout","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105863271/coatimundi-whiteout,3.7,-1,Trad,5.11a,5,,34.62908,-112.56665
Chimera,"Cow Town Buttress > Rough Rider Zone > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/107877303/chimera,3.1,-1,Sport,5.10b/c,1,100,33.17393,-110.7795
"Ride the Wave","Kitty Pool > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/117815841/ride-the-wave,2.8,-1,Sport,5.8,1,100,33.30559,-111.07749
Mecca,"Mecca Area (Northeast Face) > Thumb Butte > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105967293/mecca,3.4,-1,Trad,5.9,1,80,34.54698,-112.5179
