Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.8,-1,Sport,5.8+,1,,44.37053,-121.14363
"Gold Rush","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106505501/gold-rush,3.9,-1,Trad,5.10-,1,70,44.80197,-121.10859
Zion,"(g) Morning Glory Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105790290/zion,3.7,-1,Trad,5.10a/b,4,350,44.36716,-121.14353
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",5,250,44.37053,-121.14363
"Moons of Pluto","(q) Mesa Verde Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803003/moons-of-pluto,3.8,-1,Sport,5.10d,1,95,44.36866,-121.14442
"Wartley's Revenge","Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803545/wartleys-revenge,3.8,-1,Trad,5.11a,3,250,44.36598,-121.14688
"Last Chance","(3) Catwalk Cliff > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105809722/last-chance,3.9,-1,Trad,5.10c,1,90,44.36733,-121.13065
"The Space Between","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106520615/the-space-between,3.9,-1,Trad,5.10+,1,80,44.80197,-121.10859
"Pure Palm","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803570/pure-palm,3.8,-1,Sport,5.11a,1,80,44.36798,-121.13081
"Vomit Launch","(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789348/vomit-launch,3.8,-1,Sport,5.11b,1,,44.36719,-121.14307
Wondertwins,"The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106551868/wondertwins,3.8,-1,Trad,5.10,1,70,44.80197,-121.10859
"Bad Finger","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105804599/bad-finger,3.8,-1,Trad,5.10b,1,,44.36798,-121.13081
"Monkey Space","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791523/monkey-space,3.6,-1,Sport,5.11b,2,100,44.37053,-121.14363
"JR Token","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106505506/jr-token,3.7,-1,Trad,5.10,1,65,44.80197,-121.10859
Bloodshot,"(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106382806/bloodshot,3.7,-1,Sport,5.11c,1,90,44.36719,-121.14307
Toxic,"(d) Aggro Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789298/toxic,3.6,-1,Sport,5.11b,1,50,44.36724,-121.14238
"Mr. Squiggles","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106569405/mr-squiggles,3.7,-1,Trad,5.10b/c,1,,44.80197,-121.10859
"West Face Variation","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105792553/west-face-variation,3.6,-1,"Trad, Aid","5.8 C0",5,300,44.37053,-121.14363
"Cruel Sister","(3) Catwalk Cliff > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791785/cruel-sister,3.7,-1,Trad,5.10a,1,80,44.36733,-121.13065
Moondance,"(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106143405/moondance,3.6,-1,Sport,5.11c,1,,44.3665,-121.14564
"Moonshine Dihedral","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105790283/moonshine-dihedral,3.6,-1,Trad,5.9,2,90,44.3665,-121.14564
"Wherever I May Roam","(6) Northwest Face > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105821077/wherever-i-may-roam,3.3,-1,Sport,5.9,5,400,44.36445,-121.1482
"Dirty Pinkos","(u) Red Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/108347741/dirty-pinkos,3.5,-1,Sport,5.9+,4,,44.3696,-121.13916
"Voyage of the Cowdog","(a) Picnic Lunch Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106673268/voyage-of-the-cowdog,3.3,-1,Sport,5.8+,3,260,44.36818,-121.1401
"On The Road","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105810605/on-the-road,3.9,-1,Trad,5.11a,1,80,44.36798,-121.13081
"Holier Than Thou","Christian Brothers - West Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105815098/holier-than-thou,3.6,-1,Sport,5.11b,1,80,44.36601,-121.14688
Spiderman,"(p) Spiderman Buttress > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105793920/spiderman,3.4,-1,Trad,5.7,2,180,44.36777,-121.14507
