Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Outer Space","Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793664/outer-space,3.8,-1,Trad,5.9,6,700,47.52963,-120.71869
"Direct North Ridge","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106245725/direct-north-ridge,3.9,-1,"Trad, Alpine",5.9+,20,2800,47.4773,-120.9022
"North Ridge","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106050599/north-ridge,3.9,-1,"Trad, Alpine",5.9,18,1200,47.4773,-120.9022
"Acid Baby","Aasgard Sentinel > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/109928434/acid-baby,3.8,-1,Trad,5.10+,7,850,47.48452,-120.82275
"West Ridge","Prusik Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105808527/west-ridge,3.5,-1,"Trad, Alpine",5.7,4,400,47.48786,-120.78373
Stanley-Burgner,"Prusik Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105808515/stanley-burgner,3.7,-1,"Trad, Alpine",5.10a,6,500,47.48786,-120.78373
"West Face","Colchuck Balanced Rock > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105806033/west-face,3.8,-1,Trad,5.11+,9,,47.49184,-120.81797
"Backbone Ridge","Dragontail Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106073405/backbone-ridge,3.4,-1,Trad,5.9,12,2000,47.4789,-120.83318
Orbit,"Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106768055/orbit,3.3,-1,Trad,"5.8+ PG13",7,800,47.52963,-120.71869
Hyperspace,"Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106279399/hyperspace,3.7,-1,Trad,5.11a,7,800,47.52963,-120.71869
Canary,"Upper Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105790788/canary,3.4,-1,Trad,5.8+,3,300,47.59968,-120.71235
"Celestial Groove","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105791954/celestial-groove,3.4,-1,Trad,5.9+,1,,47.53632,-120.71457
"Damnation Crack","Upper Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105809780/damnation-crack,3.4,-1,Trad,5.9+,1,80,47.59968,-120.71235
"St. Vitus' Dance AKA Return to the Womb","Alphabet Rock > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106270721/st-vitus-dance-aka-return-to-the-womb,3.5,-1,Sport,5.10d,1,,47.54482,-120.74356
"The Bone","Lower Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106410946/the-bone,3.5,-1,Trad,5.9,1,300,47.59972,-120.71242
"Classic Crack","Eight-Mile Rock > Eight Mile Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793864/classic-crack,3.1,-1,Trad,5.8+,1,50,47.55538,-120.77103
"Condorphamine Addiction","Condor Buttress > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793190/condorphamine-addiction,3.0,-1,Sport,5.10b,7,675,47.57284,-120.77702
Catapult,"Lower Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106745525/catapult,3.2,-1,Trad,5.8,2,,47.59972,-120.71242
"Pearly Gates","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106409528/pearly-gates,3.1,-1,Trad,5.10b/c,1,,47.53632,-120.71457
"Cloud Nine","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106409785/cloud-nine,3.1,-1,Trad,5.9,2,180,47.53632,-120.71457
"Givler's Crack","Givler's Dome > Givler's & Magic Domes > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793355/givlers-crack,3.0,-1,Trad,5.7+,2,,47.54822,-120.74078
"South Face, Jello Tower","Upper Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105792847/south-face-jello-tower,3.1,-1,Trad,5.8+,1,80,47.59968,-120.71235
"Cocaine Crack","Icicle Buttress > Icicle Buttress and Bob's Wall > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106589180/cocaine-crack,3.1,-1,Trad,5.10a,1,50,47.54818,-120.75176
"Gun Rack","Clem's Holler > Clem's Holler Area > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105921065/gun-rack,3.0,-1,Sport,5.9,2,,47.58978,-120.68839
"Meat Grinder","Alphabet Rock > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105825060/meat-grinder,2.9,-1,Trad,5.10a,1,70,47.54482,-120.74356
"Loaves of Fun","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106796348/loaves-of-fun,2.9,-1,Trad,5.8,1,100,47.53632,-120.71457
