Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Direct Beckey","The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/105996498/direct-beckey,3.9,-1,"Trad, Alpine",5.11b,12,,44.06857,-114.97445
"Crack of Doom","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741584/crack-of-doom,3.9,-1,Trad,5.11c,1,80,42.08282,-113.72147
"Beware of Nesting Egos","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105835842/beware-of-nesting-egos,3.9,-1,Trad,"5.11b PG13",1,90,42.06716,-113.7094
"Strategic Defense","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105845604/strategic-defense,3.9,-1,Trad,5.11+,1,95,42.08282,-113.72147
"Terror of Tiny Town","Buzzard Perch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741038/terror-of-tiny-town,3.9,-1,Trad,5.11a/b,1,90,42.08525,-113.72139
"Open Book","Finger of Fate > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/106531483/open-book,3.7,-1,"Trad, Alpine",5.8,5,800,44.0262,-114.96179
"She's the Bosch","Window Rock - West > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105799303/shes-the-bosch,3.8,-1,Sport,5.11c,1,120,42.08533,-113.72273
"The Fine Line","The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/105996519/the-fine-line,3.8,-1,"Trad, Alpine",5.11+,10,,44.06857,-114.97445
Singapore,"Window Rock - West > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105945642/singapore,3.8,-1,Trad,"5.11a PG13",1,,42.08533,-113.72273
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.7,-1,Sport,5.10a/b,1,60,42.07673,-113.7137
"Bloody Fingers","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741026/bloody-fingers,3.7,-1,Trad,5.10a,1,100,42.08728,-113.72925
"Wheat Thin","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740996/wheat-thin,3.6,-1,Trad,5.7,1,120,42.06739,-113.70894
Skyline,"Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740963/skyline,3.7,-1,Trad,5.8,1,100,42.08282,-113.72147
"Mountaineer's Route","The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/105996469/mountaineers-route,3.5,-1,"Trad, Alpine",5.9,7,,44.06857,-114.97445
"Rye Crisp","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740981/rye-crisp,3.7,-1,Trad,5.8,1,120,42.06739,-113.70894
"Lost Arrow","Lost Arrow Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740972/lost-arrow,3.7,-1,Trad,"5.7 R",2,170,42.08568,-113.71267
