Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tangerine Dream","(f) Torture Machine Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105903225/tangerine-dream,3.4,-1,Sport,5.10d,1,90,34.01605,-117.41547
"Flesh and Blood","(c) Left of the Roof > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106642674/flesh-and-blood,3.5,-1,Sport,5.11b,1,105,34.01725,-117.41553
"Uncle Ho","(g) Slander Sector > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/108574267/uncle-ho,3.3,-1,Sport,5.10b,1,100,34.01565,-117.41549
"Trundle Trophy","(c) Left of the Roof > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105904342/trundle-trophy,3.3,-1,Sport,5.10d,1,100,34.01725,-117.41553
Flexercise,"(c) Left of the Roof > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105911490/flexercise,3.0,-1,Sport,5.10b,1,100,34.01725,-117.41553
"Double Whammy","(f) Torture Machine Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105969578/double-whammy,2.8,-1,Sport,5.11a/b,1,100,34.01605,-117.41547
Violator,"(m) Taboo Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105906828/violator,3.4,-1,Sport,5.11c,1,100,34.01445,-117.41561
Metro,"(b) Metro Sector > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106033755/metro,3.0,-1,Sport,5.11a,1,90,34.01772,-117.41595
Nostalgia,"(d) Roof Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106300807/nostalgia,3.5,-1,Sport,5.11c,1,100,34.01681,-117.41548
"Shattered Dreams","Slab City (Left) > (a) Slab City > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106033708/shattered-dreams,2.9,-1,Sport,5.10c,1,60,34.01906,-117.4164
"The Shroud","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/115414882/the-shroud,3.1,-1,Trad,5.9,1,95,33.83793,-117.17307
"Emerald City","(h) Rubble Row > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/111571633/emerald-city,3.1,-1,Sport,5.10a/b,1,85,34.01521,-117.41548
"The Eye","Joe Brown > Joe Brown and Half Dome Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105925462/the-eye,3.3,-1,TR,5.11b,1,40,33.98309,-117.39336
"Agony Arch","(q) Agony Arch Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105904259/agony-arch,3.8,-1,Trad,5.11b,1,50,34.01288,-117.41511
Delirious,"(d) Roof Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106264271/delirious,2.9,-1,Sport,5.11b/c,1,100,34.01681,-117.41548
"Edger Sanction","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/105800958/edger-sanction,2.8,-1,Trad,5.10a,1,50,33.83793,-117.17307
"American Dream","(d) Roof Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/107861791/american-dream,3.4,-1,Sport,5.11b/c,4,250,34.01681,-117.41548
"Auto Pilot","Borson's Wall > Borson's Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106122872/auto-pilot,4.0,-1,"TR, Boulder","5.11+ V4-",1,20,33.9829,-117.3928
"Let it Bleed","Main Slab - Upper > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/105870835/let-it-bleed,3.0,-1,Trad,5.10c,1,90,33.83802,-117.1725
"Automatic Static","(e) Right of the Roof > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/107483656/automatic-static,3.0,-1,Sport,5.11b,1,100,34.01635,-117.41545
"Welcome to Big Rock","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/116203193/welcome-to-big-rock,2.8,-1,Sport,5.7,1,85,33.83793,-117.17307
"The Lizard King Hand Crack","Lizard King Boulders > High Voltage Area > Juniper Flats > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/109326544/the-lizard-king-hand-crack,3.5,-1,"Trad, TR",5.10,1,40,33.77654,-117.1315
"Blue Collar","Knob Wall > Belvedere Heights West > Belvedere Heights > Box Springs Mountain Reserve > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106100920/blue-collar,3.3,-1,Sport,5.10c,1,30,33.98892,-117.30903
"Pucker Power","Slab City (Left) > (a) Slab City > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/116676638/pucker-power,3.5,-1,"Trad, Aid","5.8 A3",2,150,34.01906,-117.4164
*Utopia,"Slab City (Right) > (a) Slab City > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105911055/utopia,3.0,-1,Sport,5.10b/c,1,70,34.0183,-117.41611
"Lovely Lady","Slab City (Right) > (a) Slab City > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106614751/lovely-lady,2.8,-1,Sport,5.10d,1,60,34.0183,-117.41611
"Raw Deal","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/107899830/raw-deal,3.1,-1,Trad,5.11-,1,60,33.83793,-117.17307
"Fueled by Slander","(g) Slander Sector > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105904333/fueled-by-slander,3.0,-1,Sport,5.11b,1,90,34.01565,-117.41549
"The Virgin","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/105933756/the-virgin,2.8,-1,Trad,5.10,1,150,33.83793,-117.17307
"Shwazzle Dazzle","(n) The Alcove > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/105904279/shwazzle-dazzle,3.0,-1,Sport,5.11c,1,100,34.01431,-117.41567
"Bloody L","L-Slab/Lakeview Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/118192124/bloody-l,3.0,-1,Trad,5.7,1,115,33.84291,-117.15069
"Grab them by the","Slab City (Right) > (a) Slab City > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/114030559/grab-them-by-the,3.2,-1,Sport,5.10c,1,75,34.0183,-117.41611
"Welcome to Lakeview","L-Slab/Lakeview Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/118192249/welcome-to-lakeview,3.3,-1,Trad,5.8,1,115,33.84291,-117.15069
"The Bum","Lower Accomazzo Boulders > Accomazzo Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106692946/the-bum,3.0,-1,"TR, Boulder","5.11a V2",1,20,33.98488,-117.38948
"Black Block Face","Black Block > Borson's Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/107466084/black-block-face,3.0,-1,TR,5.11b,1,25,33.98227,-117.39236
"Jolly Green Giant","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/116231595/jolly-green-giant,3.0,-1,Trad,5.10c,1,60,33.83793,-117.17307
"Frosty Cone","Superstar Slab > Beach Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/111476327/frosty-cone,3.0,-1,TR,5.11a,1,30,33.98542,-117.39202
"The Lizard King Dihedral","Lizard King Boulders > High Voltage Area > Juniper Flats > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/109319466/the-lizard-king-dihedral,3.0,-1,"Trad, TR",5.10c,1,30,33.77654,-117.1315
"Deja Vu","(d) Roof Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/111353402/deja-vu,3.0,-1,Sport,5.11b,1,95,34.01681,-117.41548
"Offwidth  5","Offwidth World > Belvedere Heights East > Belvedere Heights > Box Springs Mountain Reserve > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/110455952/offwidth-5,3.0,-1,"Trad, TR, Boulder","5.8- V0",1,25,33.99257,-117.30282
"Pink Elephant","Woolly Mammoth > Ramona Egg Ranch Boulders > Lion's Den > Menifee Area > Inland Empire > California",https://www.mountainproject.com/route/112540019/pink-elephant,3.0,-1,Sport,5.11a,1,30,33.68853,-117.12833
"Elsinore's Finest Crack Revealed","Canyon Hills - Lost Road > Menifee Area > Inland Empire > California",https://www.mountainproject.com/route/123452704/elsinores-finest-crack-revealed,3.0,-1,"Trad, TR",5.10a/b,1,15,33.648,-117.2619
"Inch by Inch","Canyon Hills - Lost Road > Menifee Area > Inland Empire > California",https://www.mountainproject.com/route/123452626/inch-by-inch,3.0,-1,"Trad, TR",5.11,1,20,33.648,-117.2619
"Dark Angel (aka The Ghost)","Main Slab - Lower > Main Slab > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/107526938/dark-angel-aka-the-ghost,2.8,-1,Trad,5.9,1,100,33.83793,-117.17307
"Aramaic Arete","Further Back > Sandals Hillside > Box Springs Mountain Reserve > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/123658084/aramaic-arete,3.0,-1,Trad,5.7,1,30,34.00296,-117.30365
"Everybody Out of the Pool","Poolside > Bernasconi Ridge > Big Rock Area > Perris Area > Inland Empire > California",https://www.mountainproject.com/route/123722419/everybody-out-of-the-pool,3.0,-1,Trad,5.8,1,80,33.84642,-117.15584
"Escape from Agony","(q) Agony Arch Area > Riverside Quarry > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/125634395/escape-from-agony,3.0,-1,Trad,5.11b,1,50,34.01288,-117.41511
