Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Nose,2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105924807/the-nose,3.9,-1,"Trad, Aid",5.9 C2,31,3000,37.73051,-119.63828
Regular Northwest Face of Half Dome (RNWF),1. Northwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome-rnwf,3.9,-1,"Trad, Aid",5.9 C1,23,2200,37.74685,-119.5336
Salathé Wall,2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/106154042/salathe-wall,4.0,-1,"Trad, Aid",5.9 C2,35,3500,37.73051,-119.63828
Positive Vibrations,Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California,https://www.mountainproject.com/route/105860676/positive-vibrations,4.0,-1,"Trad, Alpine",5.11a,12,1200,38.12188,-119.41522
*CLOSED FOR SAFETY* Sons of Yesterday,Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105862915/closed-for-safety-sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.74873,-119.57265
*CLOSED FOR SAFETY * Serenity Crack,Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105862912/closed-for-safety-serenity-crack,3.9,-1,Trad,5.10d PG13,3,350,37.74873,-119.57265
Central Pillar of Frenzy,6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,3.8,-1,Trad,5.9,5,500,37.7165,-119.6363
Mithril Dihedral,Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California,https://www.mountainproject.com/route/105802833/mithril-dihedral,3.9,-1,"Trad, Alpine",5.9+,6,500,36.59,-118.291
The Vampire,Upper Bulge Routes > (f) West Face Bulge Routes > Tahquitz Rock > Tahquitz & Suicide Rocks > California,https://www.mountainproject.com/route/105805108/the-vampire,4.0,-1,Trad,5.11a,4,400,33.76015,-116.6846
Steck-Salathe,M. Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105862873/steck-salathe,3.8,-1,Trad,5.10-,15,,37.72958,-119.59381
Oz,Drug Dome > Tuolumne Meadows > Yosemite National Park > California,https://www.mountainproject.com/route/105862944/oz,3.9,-1,Trad,5.10d,5,600,37.86461,-119.42215
"Third Pillar, Regular Route",Dana Plateau > Lee Vining Canyon / Tioga Road > Sierra Eastside > California,https://www.mountainproject.com/route/105816995/third-pillar-regular-route,3.8,-1,Trad,5.10a/b,5,800,37.92309,-119.21264
Regular Route,North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California,https://www.mountainproject.com/route/105847227/regular-route,3.7,-1,Trad,5.9,12,1000,37.87279,-119.40427
Illusion Dweller,The Sentinel - West Face > The Sentinel > Real Hidden Valley > Hidden Valley Area > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722065/illusion-dweller,3.8,-1,Trad,5.10b,1,100,34.01305,-116.17126
Royal Arches (5.10- or 5.7 A0),Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,3.4,-1,"Trad, Aid",5.10- A0,15,2000,37.74724,-119.57128
Thunderbolt to Sill Traverse,Thunderbolt Peak > 09 - Palisades & Surrounding Peaks > High Sierra > California,https://www.mountainproject.com/route/106513790/thunderbolt-to-sill-traverse,3.9,-1,"Trad, Snow, Alpine",5.9 Easy Snow,1,5280,37.098,-118.5176
Igor Unchained,"The Witch > The Needles > Southern Sierra - The Needles, Kern River, Domelands, etc. > Southern-Western Sierra > California",https://www.mountainproject.com/route/105834219/igor-unchained,3.8,-1,Trad,5.9+,3,450,36.10721,-118.48021
Airy Interlude,"The Witch > The Needles > Southern Sierra - The Needles, Kern River, Domelands, etc. > Southern-Western Sierra > California",https://www.mountainproject.com/route/105834215/airy-interlude,3.9,-1,Trad,5.10a,3,,36.10721,-118.48021
Sheila,Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105967548/sheila,3.9,-1,Trad,5.10b,1,180,37.3843,-118.67756
Thin Ice,"The Sorcerer > The Needles > Southern Sierra - The Needles, Kern River, Domelands, etc. > Southern-Western Sierra > California",https://www.mountainproject.com/route/105834294/thin-ice,3.9,-1,Trad,5.10b,3,,36.10745,-118.48148
Figures on a Landscape (aka Monkey on My Back),North Astro Dome - Northeast Face > North Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California,https://www.mountainproject.com/route/105721816/figures-on-a-landscape-aka-monkey-on-my-back,3.9,-1,Trad,5.10b R,3,250,34.03886,-116.14762
Mr. Natural,6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California,https://www.mountainproject.com/route/105954972/mr-natural,3.9,-1,Trad,5.10+,1,160,37.7337,-119.56956
Fishhook Arête,Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California,https://www.mountainproject.com/route/105802684/fishhook-arete,3.8,-1,"Trad, Alpine",5.9,8,1000,36.59,-118.291
Coarse and Buggy,Dihedral Rock - East Face > Dihedral Rock > Roadside Rocks - West > Roadside Rocks > Hidden Valley Area > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725122/coarse-and-buggy,3.9,-1,Trad,5.11a/b,1,80,34.01977,-116.17144
Flower of High Rank,(u) Northeast Buttress > Suicide Rock > Tahquitz & Suicide Rocks > California,https://www.mountainproject.com/route/105788563/flower-of-high-rank,3.9,-1,Trad,5.9,1,160,33.77158,-116.69558
Wall of the Worlds,2. Central Dome > Calaveras Dome > Calaveras Domes > Carson Pass Highway (88) > Lake Tahoe > California,https://www.mountainproject.com/route/105957970/wall-of-the-worlds,3.9,-1,Trad,5.10+ PG13,9,,38.48775,-120.2267
Open Book,(h) Open Book Area > Tahquitz Rock > Tahquitz & Suicide Rocks > California,https://www.mountainproject.com/route/105794117/open-book,3.7,-1,Trad,5.9,3,490,33.75946,-116.68508
