Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Upside The Cranium","The Monkey Skull > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105749647/upside-the-cranium,3.5,-1,Sport,5.10c,1,100,40.17882,-105.35018
"Introducing Meteor Dad","River Wall II > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105754000/introducing-meteor-dad,3.4,-1,Sport,5.10d,1,70,40.229,-105.34538
"Sunshine Dihedral","The Monkey Skull > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105758584/sunshine-dihedral,3.2,-1,Trad,5.10b,1,120,40.17882,-105.35018
Handcrack-a-rete,"The Coliseum > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106385037/handcrack-a-rete,3.1,-1,Trad,5.7,2,200,40.16875,-105.37301
"Hollow Man","The Coliseum > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106385563/hollow-man,2.8,-1,"Trad, Sport",5.8,2,195,40.16875,-105.37301
"Ionic Column","The Coliseum > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106856997/ionic-column,2.9,-1,"Trad, Sport",5.10b/c,1,80,40.16875,-105.37301
"Panic in the Gray Room","Upper Infirmary Slabs > Infirmary Slabs > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105751108/panic-in-the-gray-room,3.0,-1,"Sport, TR",5.10b/c,1,,40.18803,-105.33378
"Fire On The Mountain","Trojan Bunny Buttress > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105749695/fire-on-the-mountain,2.9,-1,"Trad, Sport",5.11c,1,70,40.17756,-105.35586
"Lost in Time","The Coliseum > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106385581/lost-in-time,3.0,-1,"Trad, Sport",5.10b,2,170,40.16875,-105.37301
"Life After James","December Wall > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105761526/life-after-james,2.9,-1,Sport,5.11b,3,220,40.19871,-105.33055
"Crooked Cross","The Sentinel > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105757501/crooked-cross,3.2,-1,Trad,5.9+,2,,40.19432,-105.32878
"Pocket Hercules","River Wall II > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105759426/pocket-hercules,3.5,-1,Trad,5.11+,1,80,40.229,-105.34538
Sonata,"Trojan Bunny Buttress > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/107328343/sonata,2.9,-1,Trad,5.10a,1,125,40.17756,-105.35586
"The Enthusiast aka Guided by Voices","Rapids Rock > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105760956/the-enthusiast-aka-guided-by-voices,4.0,-1,"Trad, TR",5.9+,2,130,40.18438,-105.33872
Journeyman,"Journeyman > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/110536426/journeyman,4.0,-1,Trad,5.11+,2,100,40.19381,-105.35753
"Goldshut Arete","Trojan Bunny Buttress > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/110959045/goldshut-arete,2.9,-1,Sport,5.11c,1,60,40.17756,-105.35586
"Broken Arrow","Scout Rock > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105750538/broken-arrow,3.0,-1,Sport,5.11c,1,70,40.2037,-105.3111
"Where Eagles Die","The Bullet > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/120125107/where-eagles-die,3.6,-1,Trad,5.10d,1,60,40.22176,-105.35988
"The Bucket List","Trojan Bunny Buttress > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/106248619/the-bucket-list,3.3,-1,"Trad, Sport",5.11c,1,90,40.17756,-105.35586
"Telegraph Road","December Wall > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105761670/telegraph-road,3.1,-1,Sport,5.11b,2,150,40.19871,-105.33055
"Triple Bypass","Arch of Titus > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/110813082/triple-bypass,3.7,-1,Trad,5.11b,1,110,40.1863,-105.3334
"A Long December","December Wall > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105765141/a-long-december,2.9,-1,Trad,5.11a,3,200,40.19871,-105.33055
