Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black and Tan","2. The Main Amphitheater- Fall Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105849207/black-and-tan,3.9,-1,Trad,5.10,1,100,34.93186,-111.73298
"Natural Enhancement","3. The Right Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106232180/natural-enhancement,3.9,-1,Trad,"5.11 PG13",1,115,34.93143,-111.73278
"The Winsloner","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106180004/the-winsloner,3.9,-1,Sport,5.11c,1,100,34.94209,-110.6632
"The Prow","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105795099/the-prow,3.8,-1,Trad,5.11a,1,,35.13763,-112.02421
"Original Route","The Mace > Cathedral Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105788086/original-route,3.6,-1,Trad,5.9+,5,400,34.81836,-111.7913
Khaleesi,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112259660/khaleesi,3.8,-1,Sport,5.11c,1,115,36.65703,-114.00822
"Sedona's Scenic Cruise","Gibraltar Rock > Gibraltar Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105789780/sedonas-scenic-cruise,3.6,-1,Trad,5.9,5,700,34.8196,-111.75331
Vertebrae,"1. The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105852465/vertebrae,3.7,-1,Trad,5.11b,1,80,34.9318,-111.73386
"Spite and Malice","1. The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105851017/spite-and-malice,3.7,-1,Trad,5.10+,1,115,34.9318,-111.73386
"Mars Attacks","The Fin > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105793038/mars-attacks,3.5,-1,Trad,"5.9 PG13",4,350,34.90455,-111.80682
Prosthesis,"North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110529806/prosthesis,3.6,-1,Sport,5.11,1,70,35.30713,-111.70502
"East of Eden","The Gold Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105825623/east-of-eden,3.6,-1,Trad,5.10,1,110,35.13747,-112.02579
"Davidson Dihedral","Pillow Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105826993/davidson-dihedral,3.6,-1,Trad,5.11+,1,55,35.13858,-112.02479
"Dr. Rubo's Wild Ride","Summit Block Rock > Coffeepot Rock Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105789516/dr-rubos-wild-ride,3.5,-1,Trad,5.9+,4,300,34.88502,-111.79434
Kingsnake,"West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106024813/kingsnake,3.6,-1,Trad,5.9+,1,130,34.94209,-110.6632
Isaiah,"The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105797788/isaiah,3.6,-1,Trad,5.9+,1,70,35.03049,-111.73199
"Mulligan Stew","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107651178/mulligan-stew,3.5,-1,Sport,5.11-,1,75,35.3874,-111.61355
"Orange Out Direct","The Overlook > Oak Creek Canyon Overlook > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105831360/orange-out-direct,3.5,-1,Trad,5.9,1,70,35.03049,-111.73199
Mayflower,"The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105792475/mayflower,3.5,-1,Trad,5.9,1,90,35.13763,-112.02421
"New River","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110520937/new-river,3.5,-1,Sport,5.10b,1,60,35.30713,-111.70502
"Be Yourself","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110519925/be-yourself,3.6,-1,Sport,5.11b/c,1,70,35.30713,-111.70502
"Mr. Slate","(F) Swiss Tower > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810911/mr-slate,3.5,-1,Sport,5.10b,1,70,35.12928,-111.59745
