Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Uncertainty Principle","Uncertainty Principle Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796563/uncertainty-principle,3.8,-1,TR,5.11c,1,35,33.00533,-116.9666
Leonids,"Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105793305/leonids,3.6,-1,Sport,5.9,3,350,32.90461,-116.81845
"Robbins Crack","Robbins Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105792316/robbins-crack,3.5,-1,Trad,5.10a,1,35,33.0056,-116.96588
Crucible,"Summit Area West > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105803108/crucible,3.6,-1,"Trad, TR",5.10b/c,1,25,33.00856,-116.97276
Meteor,"Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107352012/meteor,3.4,-1,Sport,5.8,4,400,32.90461,-116.81845
"Big Grunt","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105941695/big-grunt,3.7,-1,TR,5.9+,1,30,33.00759,-116.96769
"Triton Tower","Triton Tower > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105835122/triton-tower,3.5,-1,Sport,5.11a,3,360,32.90453,-116.81805
"Cruise Line","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107008761/cruise-line,3.5,-1,Sport,5.10c,5,500,32.98154,-116.70618
"Sunset Streaks","Main Wall > Corte Madera > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107491542/sunset-streaks,3.3,-1,Sport,5.10a,5,400,32.7509,-116.591
Jaws,"Jaws Vicinity > Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791650/jaws,3.4,-1,"Trad, Boulder","5.11a V1",1,15,33.00579,-116.96748
"Cat Crack","Rexrodes > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109868075/cat-crack,3.9,-1,"Trad, TR",5.11a/b,1,45,32.99876,-116.96932
"Out of Sight","Out of Sight Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105932005/out-of-sight,3.3,-1,Trad,5.9,1,35,33.01016,-116.96838
"Rockwork Orange","Rockwork Orange Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105792831/rockwork-orange,3.3,-1,Trad,5.10a,1,25,33.00567,-116.96965
"The Cave","Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796678/the-cave,3.3,-1,TR,5.11a,1,20,33.00766,-116.96946
Tec-9,"Patina Wall > Valley of the Moon > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105946829/tec-9,3.2,-1,Sport,5.9+,1,90,32.62245,-116.07221
"Craig's Crack","Limbo Area > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105897365/craigs-crack,3.1,-1,Trad,5.8,1,35,32.8255,-117.051
"Digit's Delight","Right side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796703/digits-delight,3.2,-1,"Trad, TR",5.10d,1,20,33.00828,-116.96938
"The Ramp","Lunch Rock > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791625/the-ramp,3.0,-1,"Trad, TR",5.7,1,60,32.8261,-117.051
"Insecurity Never Wins","Cougar Crag East > Cougar Crag > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108015808/insecurity-never-wins,3.0,-1,Sport,5.10a,1,55,33.34171,-117.13773
Milkbar,"Milkbar Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105793003/milkbar,3.0,-1,Trad,5.8,1,35,33.00551,-116.96912
"Orange Sunshine","Middle Earth > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105849312/orange-sunshine,3.0,-1,Sport,5.10d,1,40,32.8242,-117.051
"Elsa's Crack","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105820087/elsas-crack,2.8,-1,"Trad, TR",5.7,1,20,33.00759,-116.96769
"The Y Crack","The Y Crack Area > Dixon Lake > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802530/the-y-crack,2.8,-1,"Trad, TR",5.7,1,,33.16204,-117.05318
Glamdring,"Middle Earth > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106064372/glamdring,2.9,-1,Sport,5.11a,1,50,32.8242,-117.051
Borderline,"Patina Wall > Valley of the Moon > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105946841/borderline,3.5,-1,Sport,5.10a,1,90,32.62245,-116.07221
Mariah,"Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791139/mariah,3.0,-1,"Trad, TR",5.10a,1,60,32.82665,-117.05071
"Stranger Danger","Cougar Crag East > Cougar Crag > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107950501/stranger-danger,3.1,-1,Sport,5.10c,1,50,33.34171,-117.13773
"Baby Face","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107483480/baby-face,3.8,-1,Sport,5.11a,4,400,32.98154,-116.70618
"Eric's Face","Robbins Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105795947/erics-face,2.9,-1,TR,5.11a/b,1,25,33.0056,-116.96588
Escapade,"Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791578/escapade,3.1,-1,"Sport, TR",5.11a,1,80,32.82665,-117.05071
"Big Horn","Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105803666/big-horn,2.8,-1,"Trad, Boulder","5.8+ V0-",1,12,33.00766,-116.96946
"Hard as Nails","Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/106118502/hard-as-nails,3.9,-1,"Trad, TR",5.11c,1,30,33.0066,-116.96539
"Sickle Crack","Sickle Crack Boulder > The Playground Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105791745/sickle-crack,3.2,-1,"Trad, TR",5.8+,1,20,33.00394,-116.96683
Starface,"Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105846482/starface,3.8,-1,TR,5.11a,1,30,33.00766,-116.96946
"Tears of Envy","Center/Headwall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/111177054/tears-of-envy,3.8,-1,Sport,5.11b,1,100,32.90462,-116.81783
"The Shoulder","The Roof Area > Dixon Lake > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802549/the-shoulder,3.1,-1,"Trad, TR",5.10a,1,40,33.16195,-117.05335
Mañana,"Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105835105/manana,3.1,-1,Sport,5.10b/c,2,365,32.90461,-116.81845
"Gallwas Crack","Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105853289/gallwas-crack,2.8,-1,Trad,5.9+,1,70,32.82665,-117.05071
"Yoav Crack  1","The Yoav Cracks > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109830357/yoav-crack-1,3.5,-1,Trad,5.10a,1,30,33.00749,-116.98251
Alcoa,"Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796658/alcoa,3.4,-1,TR,5.11c,1,17,33.00766,-116.96946
"Soy Chango","Right Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107008221/soy-chango,3.6,-1,Sport,5.11c,3,300,32.98171,-116.70576
Crackamite,"Right Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107986021/crackamite,3.8,-1,Trad,5.11a,1,100,32.90499,-116.81671
"Lord of the Rings","Middle Earth > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105794217/lord-of-the-rings,2.9,-1,Sport,5.10c,1,25,32.8242,-117.051
Apostrophe,"Limbo Area > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105794225/apostrophe,2.8,-1,"Trad, TR",5.9,1,45,32.8255,-117.051
"Mission Gorge Traverse","Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105982889/mission-gorge-traverse,3.3,-1,Trad,5.8,1,100,32.82665,-117.05071
"Mother Superior","Mother Superior Boulder > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796521/mother-superior,4.0,-1,"Trad, TR",5.11+,1,22,33.00803,-116.96831
"Fake Phantom Crack","Out of Sight Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105931357/fake-phantom-crack,3.0,-1,Trad,5.8,1,50,33.01016,-116.96838
"Social Distancing","Cougar Crag East > Cougar Crag > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/118756640/social-distancing,3.2,-1,Sport,5.10a,1,50,33.34171,-117.13773
"Dragon Arete","Summit Area West > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/106441209/dragon-arete,3.7,-1,TR,5.10b,1,25,33.00856,-116.97276
"Line of Fire","Right Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107191643/line-of-fire,3.8,-1,Sport,5.11b,1,100,32.90499,-116.81671
"Bat Flake","Left Side of the Road > The Cave Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796691/bat-flake,3.2,-1,TR,5.10d,1,22,33.00766,-116.96946
Icarus,"Main Wall > Descanso Wall > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106967911/icarus,3.4,-1,Sport,5.11a/b,1,90,32.84466,-116.6348
"Unknown finger crack","Dining Room Area > Mount Woodson South > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/110723836/unknown-finger-crack,3.2,-1,"Trad, TR",5.10a,1,,32.9938,-116.97093
"Green Book","Lowenbrau Pinnacle > McCain Valley > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106198998/green-book,3.1,-1,Trad,5.9,1,30,32.75225,-116.28029
"Working Man","Rexrodes > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109868061/working-man,2.9,-1,"Trad, TR",5.10,1,18,32.99876,-116.96932
"Rexrodes Inn","Rexrodes > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109868053/rexrodes-inn,2.8,-1,"Trad, TR",5.8,1,30,32.99876,-116.96932
"South Buttress","Main Wall > Corte Madera > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106599434/south-buttress,3.5,-1,Trad,5.10a,4,500,32.7509,-116.591
"The Swiftness","Triton Tower > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105883232/the-swiftness,3.3,-1,Trad,5.10a,1,50,32.90453,-116.81805
"Swiftness Direct","Triton Tower > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107840970/swiftness-direct,3.6,-1,"Trad, Sport",5.11b,1,85,32.90453,-116.81805
"Hillary Step","Everest Boulder > Mount Woodson South > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109880146/hillary-step,3.2,-1,"Trad, TR",5.9,1,70,32.99669,-116.96206
"Seminar Wall","Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796449/seminar-wall,3.4,-1,TR,5.11+,1,30,33.0066,-116.96539
"Tan Man Corner","Tan Man Tower > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107925217/tan-man-corner,3.1,-1,Sport,5.10c,1,75,32.98237,-116.70538
"Grand Central Station Crack","Grand Central Station > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/106760704/grand-central-station-crack,2.9,-1,"Trad, TR",5.9,1,17,33.00475,-116.96798
"California Night","California Night Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105837467/california-night,3.0,-1,"Trad, TR, Boulder","5.11b V2",1,15,33.0069,-116.96719
"Southwest Face","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107917616/southwest-face,3.5,-1,Sport,5.11b,5,500,32.98154,-116.70618
"The Sail","Summit Area East > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105799348/the-sail,4.0,-1,TR,5.11b,1,21,33.00856,-116.97276
"The Direct Route","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107028038/the-direct-route,3.4,-1,Sport,5.11+,4,500,32.98154,-116.70618
"Laying Down On The Job","Hamburger Crack Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/111911084/laying-down-on-the-job,4.0,-1,Trad,5.10+,1,65,33.00713,-116.96811
"Black Castle","Center/Headwall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105821986/black-castle,3.6,-1,Sport,5.11a,1,70,32.90462,-116.81783
"Up Stream","Right Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107028785/up-stream,3.5,-1,Sport,5.10c,2,150,32.98171,-116.70576
"Go With The Flow","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796408/go-with-the-flow,3.7,-1,TR,5.11c,1,26,33.00759,-116.96769
"Black Rider","Middle Earth > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105794183/black-rider,2.8,-1,"Sport, TR",5.11b,1,30,32.8242,-117.051
Privateer,"Hollenbeck > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120333078/privateer,4.0,-1,"Trad, TR",5.11+,1,40,32.68246,-116.77348
"The Wasp","Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107708786/the-wasp,3.8,-1,Trad,5.11b,1,80,32.82665,-117.05071
"The Roof","The Roof Area > Dixon Lake > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802539/the-roof,3.1,-1,"Trad, TR",5.10d,1,30,33.16195,-117.05335
"Stay Thirsty","Dos Equis Boulder > Descanso Boulders > Descanso Wall > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106992270/stay-thirsty,4.0,-1,TR,5.10+,1,25,32.84239,-116.63602
"Right Long's Crack","Seminar Wall Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796475/right-longs-crack,3.4,-1,TR,5.11+,1,18,33.0066,-116.96539
Shirley,"New Sub-Area 1 > Shirley and the Gang > Mount Woodson South > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/110728900/shirley,3.4,-1,"Trad, TR",5.11c,1,30,32.99399,-116.97324
"Shortest Straw","Headbanger Wall > Valley of the Moon > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106059832/shortest-straw,3.5,-1,Sport,5.11a,1,80,32.6229,-116.07057
"White Water","Hollenbeck > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120333142/white-water,3.8,-1,"Trad, TR",5.11-,1,35,32.68246,-116.77348
Ogre,"Summit Area West > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105802850/ogre,3.6,-1,Trad,5.11b,1,30,33.00856,-116.97276
"Bush Doctor","Tan Man Tower > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107008203/bush-doctor,3.6,-1,Sport,5.11+,1,80,32.98237,-116.70538
"Crown Jewel","Western Highlands > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/121505166/crown-jewel,4.0,-1,Trad,5.10c/d,1,70,32.89952,-116.82456
Spitfire,"Triton Tower > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105891572/spitfire,3.4,-1,Trad,5.10c,1,150,32.90453,-116.81805
"Thin Ice","Boulder Row > Lake Ramona > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/114268000/thin-ice,3.6,-1,"Trad, TR",5.11a,1,20,33.03135,-116.99701
"Blue Moon Arete","Tan Man Tower > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/112471403/blue-moon-arete,3.4,-1,Sport,5.11a,1,80,32.98237,-116.70538
"A Call to Arms","Patina Wall > Valley of the Moon > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/113779288/a-call-to-arms,4.0,-1,Sport,5.11c,1,90,32.62245,-116.07221
"The Bends","Sub-Summit > Lake Ramona > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/117009721/the-bends,4.0,-1,Trad,5.11,1,25,33.03247,-116.99688
"Urge to Merge","Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/111294865/urge-to-merge,2.8,-1,Sport,5.10a/b,1,80,32.90461,-116.81845
NutUp,"Snow Pile Area > McCain Valley > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/122026819/nutup,4.0,-1,Trad,5.9,1,40,32.75011,-116.27048
"The Headless Horseman","Summit Area West > The Summit Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/108936903/the-headless-horseman,4.0,-1,"TR, Boulder","5.11+ V4-",1,25,33.00856,-116.97276
"Chocolate Cake","Chocolate Wall > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/121142730/chocolate-cake,4.0,-1,Sport,5.10a,1,50,32.89988,-116.82365
Sky,"Sky Wall > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/121158440/sky,4.0,-1,"Trad, Alpine",5.10b,1,100,32.90036,-116.82444
"Splitter Crack  3 (aka The Lightening Bolt Crack)","Upper Terrace of Lower Slab > The Slabs > Old Castle > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/109000872/splitter-crack-3-aka-the-lightening-bolt-crack,4.0,-1,Trad,5.10a/b,1,70,33.25409,-117.12369
Traverse,"The Donkey Dick Area > Hillside Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106830760/traverse,4.0,-1,TR,"5.11a/b PG13",1,30,32.84989,-117.02048
"General Dynamics","Main Wall > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106888033/general-dynamics,3.0,-1,"Trad, Sport",5.11a,1,30,32.82665,-117.05071
"Shelob's Lair","Middle Earth > Mission Gorge > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105794194/shelobs-lair,3.0,-1,Trad,5.10b,1,30,32.8242,-117.051
"Fueled by the Grape","Hollenbeck > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120400258/fueled-by-the-grape,4.0,-1,"Trad, TR",5.10+,1,20,32.68246,-116.77348
"Marshmallow Crack","Tower Two Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/111808580/marshmallow-crack,4.0,-1,Trad,"5.11+ PG13",1,30,33.0053,-116.96449
Jess,"Combat Town > MCB Camp Pendleton. > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/122238151/jess,4.0,-1,TR,5.11,1,30,33.34522,-117.35163
"Dark Dihedral","West Bernardo Hills > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/112827025/dark-dihedral,4.0,-1,Trad,5.9,1,20,33.04988,-117.09425
"Crazy Brown Pony","Right Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120669493/crazy-brown-pony,4.0,-1,Sport,5.11c,4,400,32.98171,-116.70576
"Altar Boy","Holy Hands > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120235052/altar-boy,4.0,-1,Trad,5.9,1,30,32.73077,-116.79337
"Stellar Slab","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120672149/stellar-slab,4.0,-1,Sport,5.11c/d,4,400,32.98154,-116.70618
"Nice Jugs","The Summit > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120700058/nice-jugs,4.0,-1,Sport,5.11+,2,180,32.98227,-116.70788
"Boulder 13","Boulder 13 > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/107515072/boulder-13,3.8,-1,"Trad, TR",5.11b,1,11,33.0063,-116.96
"Direct Right","Left Wall > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120671024/direct-right,4.0,-1,Sport,5.11+,4,500,32.98154,-116.70618
"Diagonal Crack","West Bernardo Hills > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/112827058/diagonal-crack,4.0,-1,Trad,5.11,1,25,33.04988,-117.09425
"Coco a go go","Chocolate Wall > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/121142834/coco-a-go-go,4.0,-1,Trad,5.10c,1,80,32.89988,-116.82365
"Clean Slate","The Ridge > Base Area > Lake Ramona > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/116198435/clean-slate,4.0,-1,"Trad, TR",5.9,1,20,33.03084,-116.99537
Gargoyle,"Bastion > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120778028/gargoyle,4.0,-1,Trad,5.11b,2,170,32.89952,-116.82456
"Shadow Dragon","Shadow Wall > 3-Third Tier > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120627389/shadow-dragon,3.7,-1,Trad,5.10b,3,260,32.90007,-116.82465
"Into the Eye of the Son","Main Wall > Descanso Wall > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107439899/into-the-eye-of-the-son,3.4,-1,Sport,5.11+,1,100,32.84466,-116.6348
"Cashmere Clip","2-Second Tier > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/123443307/cashmere-clip,3.0,-1,Sport,5.10c,1,100,32.89938,-116.82463
"Werner's Wish","Poison Oak Boulder Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105795965/werners-wish,3.1,-1,TR,5.11b,1,25,33.00759,-116.96769
"Cataclysm Arete (Right)","Summit Area > Lake Ramona > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/114087631/cataclysm-arete-right,3.7,-1,TR,5.10-,1,20,33.03298,-116.99852
"Double Overhead","Western Highlands > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/121462460/double-overhead,3.6,-1,Sport,5.10a,1,95,32.89952,-116.82456
"Miss Tiggers","Officer's Club > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/116227589/miss-tiggers,3.8,-1,Sport,5.11,1,75,32.90441,-116.81779
"Cataclysm Arete (Left)","Summit Area > Lake Ramona > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/114088168/cataclysm-arete-left,3.8,-1,TR,5.11-,1,18,33.03298,-116.99852
"The Terrible Face","Beehive Boulders > Moby Dick Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105930388/the-terrible-face,3.5,-1,TR,5.11+,1,17,32.85097,-117.02078
"No Hope II","Lowenbrau Pinnacle > McCain Valley > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106199321/no-hope-ii,3.4,-1,Trad,5.10b,1,40,32.75225,-116.28029
"Donkey Dick, Right Arete","The Donkey Dick Area > Hillside Area > Santee Boulders > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105928502/donkey-dick-right-arete,2.9,-1,"Trad, Boulder","5.10c V4",1,17,32.84989,-117.02048
"Day Light Savings","Breeze Way > 3-Third Tier > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/120665089/day-light-savings,3.6,-1,Trad,5.10c,1,99,32.89874,-116.82603
"Blood and Roses","The Prowe Area > Dixon Lake > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105807013/blood-and-roses,3.3,-1,"Trad, TR",5.10b,1,25,33.16184,-117.05333
"Substance Abuse","Tower One Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105884260/substance-abuse,3.0,-1,TR,5.10d,1,22,33.0063,-116.96
Napoleon,"Not So Grassy Ledge > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/112400997/napoleon,3.1,-1,Sport,5.10d,1,100,32.90449,-116.81793
"Gecko Staircase","Stellar Walls > Ramona Wall > Poway Crags > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/106911154/gecko-staircase,3.7,-1,"Trad, Sport",5.11b,1,70,32.98726,-116.94977
"Crackin Up","Lowenbrau Pinnacle > McCain Valley > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/110038624/crackin-up,3.7,-1,Trad,5.11,1,55,32.75225,-116.28029
"Puerto Rican Gore-Tex","El Nino Wall > Corte Madera > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/106986490/puerto-rican-gore-tex,3.7,-1,Sport,5.11c,1,100,32.75686,-116.58849
"Irie Corner","The Summit > Eagle Peak > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/107430438/irie-corner,3.7,-1,Sport,5.11b/c,2,200,32.98227,-116.70788
