Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Slow Children","(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105815743/slow-children,3.9,-1,Trad,5.10d,1,100,47.81847,-121.57139
"Davis-Holland Route","Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105836583/davis-holland-route,3.9,-1,Trad,5.10c,3,400,47.82384,-121.56581
Rattletale,"Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106204435/rattletale,3.8,-1,Trad,5.10b,3,,47.8243,-121.5613
Godzilla,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790717/godzilla,3.8,-1,Trad,5.9,1,105,47.81847,-121.57139
"Thin Fingers","(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805741/thin-fingers,3.8,-1,Trad,5.11a,1,120,47.81859,-121.57101
"An Act of Strange Boar","(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107527007/an-act-of-strange-boar,3.8,-1,Trad,5.10d,1,100,47.82531,-121.55859
"Japanese Gardens","(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105791008/japanese-gardens,3.8,-1,Trad,5.11+,4,200,47.81847,-121.57139
"Perfect Pitch","Lower Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120714098/perfect-pitch,3.7,-1,Trad,5.10d,1,50,47.82058,-121.56988
"Senior Citizens in Space","Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106057429/senior-citizens-in-space,3.7,-1,"Trad, TR",5.7+,1,100,47.825,-121.55807
"Toxic Shock","(b) Toxic - Tang Area > West Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105791086/toxic-shock,3.7,-1,Trad,5.9,1,90,47.81897,-121.57568
