Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Abracadaver,"Rockfellow Dome > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105794076/abracadaver,3.9,-1,Trad,5.11a,6,500,31.92692,-109.97782
Endgame,"End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105901424/endgame,3.7,-1,Trad,5.10a/b,5,600,31.92707,-109.97864
Warpaint,"Westworld Dome > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738263/warpaint,3.8,-1,Trad,"5.10c PG13",5,680,31.93522,-109.99091
"Two Kings And A Pawn","4 - Queen > Chessman Area > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106768707/two-kings-and-a-pawn,3.8,-1,Sport,5.11b,1,85,32.36032,-110.71983
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,660,31.87031,-109.99388
"Forest Lawn","Bastion Towers > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105842218/forest-lawn,3.7,-1,Trad,5.9+,3,300,31.92656,-109.97723
"Void of Form","Pontatoc Ridge > Pontatoc Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/114262472/void-of-form,3.2,-1,Sport,5.9,10,1000,32.34528,-110.88783
"Go Speed Racer","Pinhead Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/107387719/go-speed-racer,3.6,-1,Sport,5.10+,1,80,32.31622,-110.74202
"Old Man","South Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738335/old-man,3.6,-1,Trad,5.9,1,90,32.36751,-110.71926
"Absinthe of Mallet","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738803/absinthe-of-mallet,3.4,-1,Trad,5.10-,7,860,31.87031,-109.99388
"The Wasteland","The Wasteland > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105824762/the-wasteland,3.4,-1,Trad,5.8,6,600,31.94542,-109.96929
"Prize Rooster","The Coop > 3 - The Bowling Alley > The Farmhouse > Southern Arizona > Arizona",https://www.mountainproject.com/route/114781141/prize-rooster,3.6,-1,Sport,5.11a,1,70,31.69142,-110.42904
"Days of Future Passed","End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105794293/days-of-future-passed,3.4,-1,Trad,"5.10b PG13",4,400,31.92707,-109.97864
Stampede,"The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106120091/stampede,3.5,-1,Sport,5.11a,7,800,31.87031,-109.99388
R-4,"Rupley Towers > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738806/r-4,3.6,-1,Trad,5.9,1,130,32.36736,-110.71377
"Bee Line","Stronghold Dome > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738266/bee-line,3.5,-1,Trad,"5.9 R",2,280,31.93005,-109.97094
"Steve's Arete","Hunchback Pinnacle > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738338/steves-arete,3.4,-1,Sport,5.11a,1,40,32.36722,-110.71557
Centerpiece,"Chimney Rock > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738614/centerpiece,3.5,-1,Trad,5.10-,1,100,32.36917,-110.70446
"Moby Dick","Whale Dome > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738239/moby-dick,3.3,-1,Trad,5.8,6,700,31.93969,-109.99315
"Arizona Flyways","Anduriel Tower > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105808558/arizona-flyways,3.4,-1,Sport,5.11c,1,70,32.36788,-110.71276
Ewephoria,"The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105861181/ewephoria,3.2,-1,Trad,5.8,5,750,31.87031,-109.99388
"Steel Crazy","Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738236/steel-crazy,3.3,-1,Sport,5.9,4,450,32.43213,-110.79756
Nightstalker,"Owl Rock > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105901907/nightstalker,3.3,-1,Trad,5.9,1,120,31.95284,-109.96193
"Chihuahua Power","Lost Hawk > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738506/chihuahua-power,3.3,-1,Sport,5.9,1,100,32.3704,-110.70788
