Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Epinephrine,"Black Velvet Wall > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732422/epinephrine,3.9,-1,Trad,5.9,13,1600,36.03518,-115.46652
"Levitation 29","Eagle Wall > (12) Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732443/levitation-29,3.8,-1,Trad,5.11b/c,9,700,36.10438,-115.49498
"Crimson Chrysalis","Cloud Tower > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732281/crimson-chrysalis,3.6,-1,Trad,5.8+,9,1000,36.11237,-115.48908
"The Nightcrawler","Brownstone Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105920684/the-nightcrawler,3.8,-1,Trad,5.10+,5,550,36.11483,-115.4957
"Dark Shadows","Dark Shadows Wall > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732380/dark-shadows,3.6,-1,Trad,5.8,4,350,36.12399,-115.49506
"Triassic Sands","North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732392/triassic-sands,3.8,-1,Trad,5.10,6,700,36.03509,-115.46345
"Dark Shadows (Full)","Dark Shadows Wall > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/109607912/dark-shadows-full,3.7,-1,Trad,5.8,10,1000,36.12399,-115.49506
"The Fox","The Fox Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732254/the-fox,3.9,-1,Trad,5.10+,1,140,36.15011,-115.428
Drifting,"Jet Stream Wall > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106062966/drifting,4.0,-1,Trad,"5.11c PG13",5,520,36.11759,-115.4926
"Dream of Wild Turkeys","Black Velvet Wall > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732275/dream-of-wild-turkeys,3.6,-1,Trad,5.10a,10,700,36.03518,-115.46652
"Big Bad Wolf","Riding Hood Wall > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.1,-1,Sport,5.9,3,220,36.14947,-115.42673
"Unimpeachable Groping","Ginger Buttress > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.5,-1,Sport,5.10b,7,760,36.11213,-115.48829
Birdland,"Brass Wall > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733115/birdland,3.4,-1,Trad,5.7+,6,600,36.12521,-115.49109
Frogland,"North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732398/frogland,3.6,-1,Trad,5.8,6,700,36.03509,-115.46345
"Running Man","Running Man Wall > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732401/running-man,3.9,-1,Sport,5.11c,1,120,36.16016,-115.4423
"The Delicate Sound of Thunder","North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732488/the-delicate-sound-of-thunder,3.9,-1,Trad,5.11b,2,200,36.03509,-115.46345
"Chrysler Crack","Chrysler Crack Buttress > Sandy Corridor > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105887571/chrysler-crack,3.7,-1,Trad,5.9,1,90,36.1628,-115.44808
"Spring Break","Sunnyside Crags > (09) Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732887/spring-break,3.8,-1,Trad,5.11+,1,70,36.145,-115.49403
Armatron,"Brownstone Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105809181/armatron,3.6,-1,Trad,5.9-,6,680,36.11483,-115.4957
"Winter Heat","Winter Heat Wall > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105934922/winter-heat,3.8,-1,Trad,5.11b,1,100,36.16876,-115.42245
"Risky Business","Dark Shadows Wall > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732866/risky-business,3.8,-1,Trad,"5.10c R",4,400,36.12399,-115.49506
