Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Spirit of Squamish","Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/120765388/the-spirit-of-squamish,3.5,-1,Trad,5.8,8,700,49.66932,-123.15753
"The Grand Wall","Grand Wall Area > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806397/the-grand-wall,3.9,-1,"Trad, Aid","5.11a A0",9,1000,49.68218,-123.14798
Exasperator,"Grand Wall Base Area > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806955/exasperator,4.0,-1,Trad,5.10c,2,150,49.6827,-123.1482
"Klahanie Crack","Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105947052/klahanie-crack,3.6,-1,Trad,5.7,1,90,49.66932,-123.15753
"Crime of the Century","Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105842838/crime-of-the-century,3.9,-1,Trad,5.11b/c,1,40,49.7049,-123.1378
"Penny Lane","Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105842825/penny-lane,3.6,-1,Trad,5.9,1,100,49.7049,-123.1378
"Angel's Crest","The Sheriff's Badge > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105847203/angels-crest,3.6,-1,Trad,5.10b,13,1700,49.686,-123.1415
Skywalker,"Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107198282/skywalker,3.5,-1,Trad,5.8,5,300,49.66932,-123.15753
"Laughing Crack","Wall Area > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105959460/laughing-crack,3.6,-1,Trad,5.7,1,75,49.7081,-123.141
"Sunset Strip","The Dihedrals > Stawamus Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108398190/sunset-strip,3.7,-1,Trad,5.10+,12,930,49.6814,-123.1482
"The Great Game","Slhanay > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106228408/the-great-game,3.8,-1,Trad,5.10d,4,400,49.6945,-123.12156
