Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Corrugation Corner","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105872293/corrugation-corner,3.9,-1,Trad,5.7,3,300,38.80006,-120.13522
"Wall of the Worlds","2. Central Dome > Calaveras Dome > Calaveras Domes > Carson Pass Highway (88) > Lake Tahoe > California",https://www.mountainproject.com/route/105957970/wall-of-the-worlds,3.9,-1,Trad,"5.10+ PG13",9,,38.48775,-120.2267
"Bear's Reach","East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798294/bears-reach,3.4,-1,Trad,5.7,3,400,38.80261,-120.13204
"Hospital Corner","West Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798333/hospital-corner,3.9,-1,Trad,5.10a,2,240,38.7991,-120.1361
"One Of These Days","One Of These Days Buttress > Cloudburst Canyon > Woodfords Canyon > Carson Pass Highway (88) > Lake Tahoe > California",https://www.mountainproject.com/route/106535215/one-of-these-days,3.9,-1,Trad,5.10c,1,115,38.76132,-119.86108
"Black September","3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105981506/black-september,3.8,-1,Trad,5.9,1,110,39.32564,-120.31425
"Made In Japan","Space Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735761/made-in-japan,3.9,-1,Sport,5.11a,1,90,39.32331,-120.31591
"The Line","East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798280/the-line,3.7,-1,Trad,5.9,3,320,38.80261,-120.13204
Candyland,"Middle Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875517/candyland,3.8,-1,Trad,5.10c,1,,38.7875,-120.2441
"Seams to Me","Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California",https://www.mountainproject.com/route/105879356/seams-to-me,3.8,-1,Trad,5.10c,1,,38.93997,-120.12315
"Traveler Buttress","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105812520/traveler-buttress,3.6,-1,Trad,5.9,4,500,38.80006,-120.13522
"Peter Principle","1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735527/peter-principle,3.8,-1,"Trad, TR",5.11a,1,80,39.31642,-120.31884
"The Fracture","East Face > Sugarloaf > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875824/the-fracture,3.7,-1,Trad,5.10d,1,,38.77622,-120.30784
"Boot Hill","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105872309/boot-hill,3.8,-1,Sport,5.11,1,100,38.80006,-120.13522
"One Hand Clapping","1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105736426/one-hand-clapping,3.6,-1,Trad,5.9,4,400,39.32485,-120.31463
"Fear of Flying","Upper Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105858248/fear-of-flying,3.7,-1,Trad,5.9+,2,,38.78867,-120.24518
"The Perfect Lie Back","6 - Liebacks Area > The Fortress > Woodfords Canyon > Carson Pass Highway (88) > Lake Tahoe > California",https://www.mountainproject.com/route/106395441/the-perfect-lie-back,3.7,-1,Trad,5.8,1,60,38.76935,-119.85229
"Space Truckin'","Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California",https://www.mountainproject.com/route/105876300/space-truckin,3.6,-1,Trad,5.10a/b,1,110,38.93997,-120.12315
"Tombstone Terror","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798338/tombstone-terror,3.6,-1,Trad,5.10c,1,80,38.80006,-120.13522
"Surrealistic Pillar Direct","Lower Buttress > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798307/surrealistic-pillar-direct,3.6,-1,Trad,5.10b,1,70,38.8003,-120.13695
"Super Size Me","Fast Food Wall > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108073763/super-size-me,3.6,-1,Sport,5.11a,1,80,39.32749,-120.64662
Taurus,"East Face > Sugarloaf > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105916515/taurus,3.7,-1,Trad,5.11b,1,80,38.77622,-120.30784
"Step Into The Light","Kudos Left > Kudos Cliff > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108143932/step-into-the-light,3.5,-1,Sport,5.10c,1,70,39.32721,-120.64672
"Charlee And The Stick Factory","The Fortress > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108070248/charlee-and-the-stick-factory,3.6,-1,Sport,5.11a,1,70,39.32525,-120.6488
"Farewell To Arms","3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105885838/farewell-to-arms,3.5,-1,Trad,5.10b,1,,39.31601,-120.31834
Fantasia,"East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735227/fantasia,3.6,-1,Trad,"5.9 R",3,300,38.80261,-120.13204
Firecracker,"1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105927635/firecracker,3.6,-1,Trad,5.10b,1,70,39.32485,-120.31463
"Nova Express","3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105885835/nova-express,3.5,-1,Trad,5.9+,1,,39.31601,-120.31834
"Jellyroll Arch","East Face > Grouse Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735152/jellyroll-arch,3.4,-1,Trad,5.8,2,200,39.32288,-120.31851
"Bottomless Topless","1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735521/bottomless-topless,3.5,-1,"Trad, TR",5.10a,1,80,39.31642,-120.31884
"Psychedelic Tree","East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105928449/psychedelic-tree,3.4,-1,Trad,5.9,3,350,38.80261,-120.13204
"Disciples Of The New Wave","3. Gully - Right Side > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735524/disciples-of-the-new-wave,3.5,-1,Sport,5.11b/c,1,70,39.31612,-120.31919
"Little Feat","3. East Face Main > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105734963/little-feat,3.5,-1,Sport,5.11a/b,1,80,39.31601,-120.31834
Scimitar,"East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105806605/scimitar,3.4,-1,Trad,"5.9 R",3,400,38.80261,-120.13204
Aerial,"1. North Face Main > North Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735512/aerial,3.4,-1,Sport,5.11a,1,60,39.31642,-120.31884
"Touch and Go","1. Black Wall - Left > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/106180304/touch-and-go,3.4,-1,Trad,5.9,4,370,39.32485,-120.31463
"Duppy Conqueror","Kudos Left > Kudos Cliff > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108143941/duppy-conqueror,3.4,-1,Sport,5.11c,1,70,39.32721,-120.64672
Fingerlock,"Sugarbun > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875526/fingerlock,3.4,-1,Trad,5.10,1,,38.77335,-120.31005
"Cast In Stone","The Negativity Cave > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108157965/cast-in-stone,3.3,-1,Sport,5.8,2,200,39.32618,-120.6478
Hyperspace,"West Face > Sugarloaf > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875757/hyperspace,3.5,-1,Trad,5.10b,1,165,38.77639,-120.3085
"Rock n Rolla","Candy Land > Bowman Valley > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108013091/rock-n-rolla,3.3,-1,Sport,5.9,1,80,39.44101,-120.65802
"Surrealistic Pillar","Lower Buttress > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735614/surrealistic-pillar,3.1,-1,Trad,5.7,3,270,38.8003,-120.13695
