Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Shake Your Lettuce","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107229953/shake-your-lettuce,2.9,-1,Sport,5.10d,1,70,49.36335,-123.02332
Lubo,"Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107229946/lubo,3.1,-1,Sport,5.11a,1,80,49.36335,-123.02332
"Camel Cracks","The Camel > Crown Mountain & The Camel > North Shore Mountains > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/118969491/camel-cracks,4.0,-1,"Trad, Alpine",5.9,1,65,49.41014,-123.09104
"It's Wong to Yum Yum Chum Chum !!!","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/119370802/its-wong-to-yum-yum-chum-chum,3.7,-1,Sport,5.10b,1,50,49.36335,-123.02332
"Queen of Capilano","Bowen Island > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108959571/queen-of-capilano,4.0,-1,Sport,5.11b,1,,49.35099,-123.35752
Pacemaker,"Mt. Robie Reid > Golden Ears Provincial Park > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/119334992/pacemaker,4.0,-1,"Trad, Alpine","5.10 R",37,5600,49.4317,-122.35588
"Unknown - name needed","The Watchtower > Porteau Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/122934818/unknown-name-needed,3.5,-1,Sport,5.11c,1,70,49.5376,-123.24919
"The A-Team","First Contact > Porteau Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/114527030/the-a-team,3.5,-1,Sport,5.11b,1,,49.53762,-123.25115
"My One Muscle","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107229962/my-one-muscle,2.9,-1,Sport,5.11a,1,70,49.36335,-123.02332
"Pool Boy","Cougar Crag > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107288342/pool-boy,3.5,-1,Sport,5.11a,1,40,49.3522,-123.2413
Wingman,"Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107229970/wingman,3.1,-1,Sport,5.11b,1,60,49.36335,-123.02332
"Throne Of Kings","Howe Sound Redoubt Wall > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/122790330/throne-of-kings,3.7,-1,Sport,5.10b,8,800,49.50284,-123.24091
"Get Bent","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107234570/get-bent,3.2,-1,Sport,5.11c,1,60,49.36335,-123.02332
Guttersnipe,"Supratidal Zawn (Copper Cove wall) > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111046179/guttersnipe,3.3,-1,Sport,5.10b,1,,49.37891,-123.27834
"Cypress Crack","Knuckle Head > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107288413/cypress-crack,3.4,-1,Trad,5.9+,1,50,49.35851,-123.23414
"A Slice of Life","Senior Centre > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105975935/a-slice-of-life,3.5,-1,Sport,5.10d,1,100,49.3452,-122.9262
"Ellie c'est une fille oui?","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/119246027/ellie-cest-une-fille-oui,3.4,-1,Sport,5.9,1,50,49.36335,-123.02332
"Marcus The Gopher Slayer","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/119552803/marcus-the-gopher-slayer,3.2,-1,Sport,5.10c,1,50,49.36335,-123.02332
"What The Dog Saw","Knuckle Head > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107288417/what-the-dog-saw,3.1,-1,Sport,5.11+,1,50,49.35851,-123.23414
Serene,"Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107233481/serene,3.2,-1,Sport,5.11c,1,75,49.36335,-123.02332
"Widowmaker Arete","Crown Mountain > Crown Mountain & The Camel > North Shore Mountains > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/116522314/widowmaker-arete,3.2,-1,"Trad, Alpine",5.10a,10,1700,49.40985,-123.09185
"Charlie Don't Talk","The Watchtower > Porteau Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/114527068/charlie-dont-talk,2.9,-1,Sport,5.11a,1,90,49.5376,-123.24919
"Trekking to India","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107277019/trekking-to-india,2.9,-1,Sport,5.11b/c,1,80,49.36335,-123.02332
"Double Overhang Bypass","Juniper Point > Lighthouse Park > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/118991329/double-overhang-bypass,3.0,-1,TR,5.10b,1,40,49.331,-123.2665
Neoclassical,"Supratidal Zawn (Copper Cove wall) > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111046189/neoclassical,3.0,-1,Trad,5.10b,1,,49.37891,-123.27834
Undertaker,"Tombstone Tower > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107288373/undertaker,3.0,-1,Trad,5.10b,1,50,49.3522,-123.2413
Orca,"Juniper Point > Lighthouse Park > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/118991371/orca,3.0,-1,TR,5.11c,1,30,49.331,-123.2665
"Grave Digger","Tombstone Tower > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107288386/grave-digger,3.0,-1,Trad,5.11+,1,40,49.3522,-123.2413
SARchasm,"Dennett Lake Bluffs > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/117368636/sarchasm,3.0,-1,"Sport, TR",5.10c,1,30,49.32813,-122.69338
"The Hunk","The Camel > Crown Mountain & The Camel > North Shore Mountains > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/118969502/the-hunk,3.0,-1,"Trad, Alpine",5.9,1,60,49.41014,-123.09104
"Soul Vaccination","Tower of Power > Quarry Rock > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/114946324/soul-vaccination,3.0,-1,Trad,5.11b,1,35,49.33521,-122.93631
"Yellowjackets Glee","Supratidal Zawn (Copper Cove wall) > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111046164/yellowjackets-glee,3.0,-1,Sport,5.10c,1,,49.37891,-123.27834
"Tennis Anyone","Supratidal Zawn (Copper Cove wall) > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111046168/tennis-anyone,3.0,-1,Trad,5.10b,1,,49.37891,-123.27834
"The Burnley Butcher Boy","Tidal Zawn > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111045976/the-burnley-butcher-boy,3.0,-1,TR,5.11,1,36,49.37891,-123.27834
"The Oddity","Supratidal Zawn (Copper Cove wall) > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111046211/the-oddity,3.0,-1,Trad,5.11a,1,,49.37891,-123.27834
"Neptune's White Horses","Tidal Zawn > Copper Cove > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111045980/neptunes-white-horses,3.0,-1,TR,5.10,1,36,49.37891,-123.27834
"Walker on the Wild Side","Senior Centre > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105975952/walker-on-the-wild-side,3.0,-1,Sport,5.11c,1,80,49.3452,-122.9262
"Speed Dial  8","Sully's Hangout > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/111948312/speed-dial-8,2.8,-1,Sport,5.10d,1,,49.36335,-123.02332
"Dirtbag Adonis","Lily Pad Lane > Cypress Falls > Vancouver > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/125154348/dirtbag-adonis,3.5,-1,Sport,5.10d,1,,49.35219,-123.24128
